,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
63,6.293479,2.318122,0.018659,0.118841,-1.689448,0.281128,-1.229696,-3.207483,8.986954
64,6.393376,2.243115,0.030807,0.131638,-1.744059,0.138781,0.183559,-2.875387,8.986954
65,6.493272,2.164674,0.043544,0.134109,-1.736363,0.005810,0.544898,-2.042327,8.986954
66,6.593169,2.084566,0.056132,0.127694,-1.711359,-0.093857,0.258835,4.020187,8.986954
67,6.693065,2.002699,0.068626,0.120177,-1.698996,0.099159,-0.234503,1.122187,8.986954
68,6.792962,1.917672,0.081300,0.117906,-1.710553,0.148036,1.693608,1.458795,8.986954
69,6.892858,1.830944,0.093836,0.120979,-1.620288,0.212852,4.342615,-3.527159,8.986954
70,6.992755,1.749462,0.106470,0.123797,-1.379024,0.010961,8.994855,-13.208879,8.986954
71,7.092651,1.686600,0.117760,0.109175,-0.864054,-0.753208,19.395500,-18.203486,8.986954
72,7.192548,1.669966,0.125522,0.058995,0.259371,-1.826385,23.588188,-12.039373,8.986954
73,7.292444,1.723331,0.127051,-0.023296,1.601385,-2.537005,28.099972,-5.842879,8.986954
74,7.392341,1.851637,0.120438,-0.115641,3.119652,-2.858909,37.509655,-5.427736,8.986954
75,7.492237,2.057484,0.104296,-0.201969,5.011798,-3.132327,0.538470,-12.083086,8.986954
76,7.592133,2.291374,0.079304,-0.280067,5.031720,-3.706179,-18.043346,-12.992234,8.986954
77,7.692030,2.494012,0.045353,-0.350579,4.249227,-4.280972,-47.241718,-6.909087,8.986954
78,7.791926,2.630944,0.004522,-0.405486,2.274671,-4.577731,-14.954975,-2.119885,8.986954
79,7.891823,2.711037,-0.039324,-0.431597,1.660340,-4.666146,13.205076,-10.538712,8.986954
80,7.991719,2.783166,-0.081403,-0.417653,2.147242,-5.060541,8.233349,-27.172948,8.986954
81,8.091616,2.858548,-0.116204,-0.360755,2.396840,-5.965240,-15.387776,-65.736902,8.986954
82,8.191512,2.919260,-0.141049,-0.269370,1.932921,-7.831134,-27.301280,-78.348549,8.986954
83,8.291409,2.957108,-0.156768,-0.156944,1.237559,-9.741418,-17.611888,-22.831264,8.986954
84,8.391305,2.979231,-0.163745,-0.032851,0.836761,-10.241626,-23.443111,34.469135,8.986954
85,8.491202,2.991154,-0.162096,0.095040,0.326956,-9.485735,-66.725378,55.968949,8.986954
86,8.591098,2.980877,-0.151492,0.216827,-1.186964,-8.193787,-39.666940,40.861239,8.986954
87,8.690995,2.936954,-0.130929,0.320772,-2.205176,-7.129695,6.890549,14.582897,8.986954
88,8.790891,2.873950,-0.100294,0.394559,-1.997162,-6.685987,6.098246,8.315278,8.986954
89,8.890788,2.808821,-0.060673,0.430574,-1.789040,-6.398198,3.203223,5.373364,8.986954
90,8.990684,2.743049,-0.016105,0.428136,-1.669099,-6.192771,2.792481,4.618679,8.986954
91,9.090581,2.678391,0.027320,0.390981,-1.555731,-6.006900,0.448105,4.374440,8.986954
92,9.190477,2.615755,0.065235,0.325902,-1.535364,-5.828845,1.989604,5.216093,8.986954
93,9.290374,2.555951,0.094674,0.240757,-1.454570,-5.618658,21.885123,5.284315,8.986954
94,9.390270,2.515824,0.113949,0.143285,-0.592404,-5.408487,15.753370,7.492349,8.986954
95,9.490167,2.504757,0.122756,0.042222,0.015112,-5.110157,-8.243522,80.412263,8.986954
96,9.590063,2.499165,0.123713,-0.033955,-0.306190,-2.005963,-5.891397,48.914645,8.986954
97,9.689960,2.482663,0.118477,-0.068763,-0.538819,-0.095014,-3.528334,15.135947,8.986954
98,9.789856,2.458367,0.111498,-0.078067,-0.681242,0.510263,-1.096496,-10.923022,8.986954
99,9.889753,2.429726,0.103578,-0.078958,-0.727452,0.071881,1.161771,-25.214071,8.986954
100,9.989649,2.400471,0.095136,-0.084567,-0.680914,-0.967576,3.018697,-26.157493,8.986954
101,10.089546,2.374213,0.085743,-0.100033,-0.554818,-2.070344,2.931310,-17.916457,8.986954
102,10.189442,2.352794,0.074432,-0.121861,-0.429752,-2.841895,2.264052,-9.948166,8.986954
103,10.289339,2.335868,0.061222,-0.142766,-0.331344,-3.278234,0.226036,-5.604630,8.986954
104,10.389235,2.321113,0.045864,-0.157577,-0.321961,-3.527366,-0.865901,-3.949936,8.986954
105,10.489132,2.305617,0.029163,-0.164729,-0.360921,-3.704180,-0.343269,-3.586171,8.986954
106,10.589028,2.288937,0.012369,-0.165040,-0.376105,-3.864571,3.769192,-2.662741,8.986954
107,10.688925,2.275670,-0.004125,-0.160027,-0.210243,-3.983339,7.052459,-2.257450,8.986954
108,10.788821,2.272777,-0.019779,-0.150863,0.095972,-4.083057,2.232841,-2.005906,8.986954
109,10.888718,2.278448,-0.033944,-0.138569,0.190900,-4.170171,1.182437,-1.844632,8.986954
110,10.988614,2.286999,-0.046766,-0.124440,0.239479,-4.248736,1.448422,-1.617810,8.986954
111,11.088511,2.297591,-0.057951,-0.109563,0.298286,-4.316307,-0.570502,-1.347893,8.986954
112,11.188407,2.308711,-0.067826,-0.094382,0.274334,-4.371577,-8.406414,-0.567607,8.986954
113,11.288304,2.312518,-0.075548,-0.078923,-0.062033,-4.394659,-4.601711,0.647006,8.986954
114,11.388200,2.306016,-0.082182,-0.063663,-0.246211,-4.369133,-7.942512,2.583180,8.986954
115,11.488097,2.289559,-0.087620,-0.048466,-0.564196,-4.266335,-2.516884,2.065265,8.986954
116,11.587993,2.264779,-0.091224,-0.033185,-0.663385,-4.183719,16.058712,0.709188,8.986954
117,11.687890,2.250855,-0.093449,-0.017957,-0.019059,-4.154997,2.887480,0.254052,8.986954
118,11.787786,2.252173,-0.094507,-0.001790,0.096525,-4.144553,5.188235,-0.148439,8.986954
119,11.887683,2.259918,-0.093613,0.016036,0.302433,-4.150040,5.513750,-0.898620,8.986954
120,11.987579,2.276041,-0.090952,0.035180,0.520223,-4.185084,-0.743788,-1.107311,8.986954
121,12.087476,2.295849,-0.086959,0.054170,0.490442,-4.228345,2.339275,-1.559616,8.986954
122,12.187372,2.316884,-0.081402,0.071225,0.581602,-4.289337,-0.122661,-1.648360,8.986954
123,12.287269,2.339642,-0.074225,0.085582,0.576179,-4.353898,-2.946661,-1.406101,8.986954
124,12.387165,2.360068,-0.065512,0.097315,0.459643,-4.409105,2.075280,-1.349526,8.986954
125,12.487062,2.379923,-0.055531,0.106223,0.541698,-4.462356,-1.134678,-1.426848,8.986954
126,12.586958,2.400622,-0.045151,0.111562,0.496551,-4.518921,-7.855438,-0.710148,8.986954
127,12.686855,2.414239,-0.034487,0.112714,0.182050,-4.547110,-4.698727,0.230512,8.986954
128,12.786751,2.417834,-0.023476,0.109722,-0.006934,-4.537689,-2.906615,1.261757,8.986954
129,12.886648,2.415219,-0.012868,0.103238,-0.126073,-4.486175,-9.550794,2.896310,8.986954
130,12.986544,2.401947,-0.002928,0.094144,-0.521718,-4.366520,14.963450,1.908698,8.986954
131,13.086441,2.393276,0.006102,0.082257,0.102365,-4.286573,8.744682,1.335925,8.986954
132,13.186337,2.405277,0.013509,0.067921,0.467720,-4.230116,7.758449,0.916281,8.986954
133,13.286234,2.431481,0.019817,0.051643,0.789347,-4.191143,-2.092202,1.341631,8.986954
134,13.386130,2.462217,0.024284,0.033506,0.702788,-4.134776,1.122836,3.522958,8.986954
135,13.486027,2.491737,0.026831,0.013224,0.747962,-3.990247,-0.360999,5.199866,8.986954
136,13.585923,2.521463,0.027039,-0.009519,0.732942,-3.780138,-3.882415,7.170468,8.986954
137,13.685820,2.547459,0.024607,-0.035065,0.579440,-3.494504,-2.599723,10.586531,8.986954
138,13.785716,2.568174,0.019931,-0.062981,0.477530,-3.078010,-0.795585,17.457663,8.986954
139,13.885613,2.586128,0.012427,-0.091585,0.446374,-2.398198,0.552012,27.835430,8.986954
140,13.985509,2.603763,0.001478,-0.117358,0.467102,-1.322403,-2.631486,31.168273,8.986954
141,14.085406,2.619771,-0.011902,-0.136427,0.365520,-0.122504,-5.199040,16.000766,8.986954
142,14.185302,2.629971,-0.026301,-0.149814,0.165305,0.494829,-1.983755,31.081609,8.986954
143,14.285199,2.634866,-0.041616,-0.154140,0.088754,1.694872,-1.204385,26.609637,8.986954
144,14.385095,2.637398,-0.056795,-0.143545,0.042231,2.724875,-2.744060,17.587630,8.986954
145,14.484992,2.636988,-0.070135,-0.119978,-0.063812,3.406346,-9.404979,11.209565,8.986954
146,14.584888,2.627525,-0.080741,-0.086685,-0.426970,3.840978,-3.449607,8.029328,8.986954
147,14.684785,2.608435,-0.087456,-0.045427,-0.560653,4.153363,-1.212864,5.748017,8.986954
148,14.784681,2.585730,-0.089153,0.002287,-0.608036,4.378546,1.076238,3.802667,8.986954
149,14.884578,2.562715,-0.085994,0.053490,-0.566068,4.529383,0.065978,2.256654,8.986954
150,14.984474,2.540268,-0.078042,0.103845,-0.563575,4.620684,0.385825,1.184815,8.986954
151,15.084371,2.517805,-0.065102,0.148917,-0.548066,4.669982,-0.339876,0.447316,8.986954
152,15.184267,2.495008,-0.047688,0.184688,-0.562062,4.689590,2.684244,0.083166,8.986954
153,15.284163,2.473996,-0.027411,0.207467,-0.450598,4.694117,4.841874,0.207887,8.986954
154,15.384060,2.459482,-0.005859,0.214167,-0.249643,4.703719,1.969509,0.428271,8.986954
155,15.483956,2.450939,0.014531,0.203577,-0.168901,4.722129,1.565573,0.660077,8.986954
156,15.583853,2.445476,0.033634,0.177496,-0.106226,4.749426,1.579236,0.726649,8.986954
157,15.683749,2.442589,0.048612,0.139566,-0.044791,4.778465,1.586412,0.844580,8.986954
158,15.783646,2.442090,0.059969,0.094443,0.015448,4.811199,-0.770071,0.747332,8.986954
159,15.883542,2.442190,0.066718,0.046322,-0.013393,4.839704,4.603599,0.920434,8.986954
160,15.983439,2.444885,0.068776,-0.001425,0.156060,4.874273,-1.704277,1.163366,8.986954
161,16.083335,2.449565,0.066041,-0.045349,0.093571,4.917895,-0.268641,0.837641,8.986954
162,16.183232,2.452967,0.060129,-0.080459,0.083303,4.949859,-3.205555,0.230638,8.986954
163,16.283128,2.453878,0.052109,-0.101970,-0.040029,4.959205,-0.678823,-0.042939,8.986954
164,16.383025,2.451854,0.042541,-0.107604,-0.067305,4.957808,-2.298906,-0.377565,8.986954
165,16.482921,2.447447,0.032830,-0.098707,-0.158372,4.943031,3.403312,-0.428953,8.986954
166,16.582818,2.443865,0.024233,-0.079497,-0.023191,4.925996,3.063864,-0.037640,8.986954
167,16.682714,2.445435,0.017706,-0.055949,0.099607,4.924468,-3.867583,-0.040556,8.986954
168,16.782611,2.446292,0.013008,-0.034286,-0.057260,4.922792,2.227878,-0.385382,8.986954
169,16.882507,2.445728,0.009999,-0.019304,0.031063,4.907047,-0.079870,-0.227845,8.986954
170,16.982404,2.446788,0.008096,-0.013707,0.026066,4.897335,-1.859116,-0.608915,8.986954
171,17.082300,2.446204,0.006549,-0.017953,-0.049055,4.872085,-1.074706,-1.010506,8.986954
172,17.182197,2.443229,0.003615,-0.030798,-0.092675,4.830536,-4.786161,-1.405592,8.986954
173,17.282093,2.435442,-0.000002,-0.049647,-0.286359,4.772768,1.581347,-1.709974,8.986954
174,17.381990,2.424939,-0.006196,-0.071854,-0.222155,4.701910,-0.714640,-1.944068,8.986954
175,17.481886,2.414985,-0.015261,-0.094855,-0.252280,4.620144,5.651903,-1.702467,8.986954
176,17.581783,2.409253,-0.026007,-0.115305,-0.014003,4.547080,1.755127,-1.316749,8.986954
177,17.681679,2.410149,-0.038715,-0.130248,0.061284,4.489466,1.339735,-1.371743,8.986954
178,17.781576,2.413949,-0.053221,-0.137284,0.119276,4.428824,4.225684,-1.431613,8.986954
179,17.881472,2.423002,-0.067899,-0.134245,0.302218,4.365130,2.674904,-1.708451,8.986954
180,17.981369,2.438436,-0.081031,-0.119519,0.417225,4.289773,-1.831968,-2.533114,8.986954
181,18.081265,2.454412,-0.092288,-0.092691,0.338475,4.180038,-4.669891,-3.934351,8.986954
182,18.181162,2.464353,-0.099844,-0.054480,0.142793,4.013614,-0.326328,-6.444072,8.986954
183,18.281058,2.469814,-0.102710,-0.007169,0.128905,3.747023,3.469469,-7.932642,8.986954
184,18.380955,2.477739,-0.100817,0.045466,0.268670,3.423949,-1.598814,-9.798516,8.986954
185,18.480851,2.487119,-0.093796,0.099184,0.204761,3.028917,-0.863855,-12.803662,8.986954
186,18.580748,2.494548,-0.081460,0.149832,0.170657,2.514404,-0.742468,-17.492750,8.986954
187,18.680644,2.500745,-0.064334,0.193047,0.140986,1.809841,-1.102565,-21.231129,8.986954
188,18.780541,2.505492,-0.043177,0.224724,0.096365,0.949980,-2.604837,-18.406937,8.986954
