,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
139,27.773460,4.624750,0.149770,-0.091946,-1.085049,-1.608144,-2.366940,2.330518,15.435434
140,27.973269,4.574924,0.130405,-0.100602,-1.188784,-1.506006,-1.554427,2.698173,15.435434
141,28.173078,4.520941,0.108866,-0.116796,-1.257390,-1.386919,-0.670579,3.138441,15.435434
142,28.372887,4.464285,0.082910,-0.145091,-1.287251,-1.247163,0.281701,3.624800,15.435434
143,28.572696,4.406156,0.050843,-0.173102,-1.274467,-1.082662,1.288637,4.178654,15.435434
144,28.772505,4.348432,0.014311,-0.185230,-1.214699,-0.888853,2.366180,4.849817,15.435434
145,28.972314,4.293956,-0.022593,-0.177009,-1.103493,-0.660921,-5.154262,3.220499,15.435434
146,29.172123,4.236127,-0.055894,-0.153342,-1.346785,-0.508906,-5.066565,3.924894,15.435434
147,29.371932,4.166449,-0.083668,-0.126802,-1.587416,-0.322497,-4.820192,4.650472,15.435434
148,29.571741,4.084112,-0.107005,-0.110199,-1.820344,-0.097771,-4.422422,5.390665,15.435434
149,29.771550,3.988221,-0.128474,-0.106104,-2.040046,0.170032,-3.900156,6.167533,15.435434
150,29.971359,3.878371,-0.150075,-0.108663,-2.240235,0.486602,-3.266707,7.007386,15.435434
151,30.171168,3.754862,-0.172214,-0.109214,-2.413625,0.858540,-2.519310,7.933681,15.435434
152,30.370978,3.618809,-0.193501,-0.099514,-2.551687,1.293317,-1.639134,8.954735,15.435434
153,30.570787,3.472013,-0.211142,-0.073722,-2.644304,1.799294,-0.592535,10.016436,15.435434
154,30.770596,3.316098,-0.221853,-0.031644,-2.679014,2.386036,0.638476,10.815094,15.435434
155,30.970405,3.151823,-0.223040,0.020716,-2.639573,3.054128,1.991077,10.544504,15.435434
156,31.170214,2.980228,-0.213198,0.074985,-2.506796,3.757295,3.305831,9.031493,15.435434
157,31.370023,2.804967,-0.192068,0.121931,-2.263904,4.420874,4.373669,6.385155,15.435434
158,31.569832,2.635222,-0.161364,0.153183,-1.907995,4.940469,4.928867,2.669098,15.435434
159,31.769641,2.486074,-0.125060,0.167398,-1.473157,5.175944,4.537386,-2.265484,15.435434
160,31.969450,2.369921,-0.087195,0.174475,-1.056472,4.967896,3.047690,-2.199755,15.435434
161,32.169259,2.285116,-0.048381,0.191023,-0.774090,4.764079,2.131416,-2.012506,15.435434
162,32.369068,2.222474,-0.007442,0.196440,-0.576355,4.577375,2.434724,2.247811,15.435434
163,32.568877,2.180168,0.027080,0.135058,-0.355210,4.781543,4.982207,9.032898,15.435434
164,32.768686,2.168094,0.040920,0.003667,0.076631,5.564484,6.352999,-1.328957,15.435434
165,32.968495,2.198063,0.027177,-0.149098,0.621811,5.450440,4.148836,-7.419364,15.435434
166,33.168304,2.271273,-0.016409,-0.277424,0.997051,4.779397,3.449220,2.786007,15.435434
167,33.368113,2.383904,-0.087314,-0.352011,1.330822,5.048991,4.302154,5.973063,15.435434
168,33.567923,2.539040,-0.175295,-0.369547,1.762366,5.648142,4.697140,2.837739,15.435434
169,33.767732,2.734696,-0.266473,-0.345685,2.223502,5.926733,3.984951,-0.495461,15.435434
170,33.967541,2.948329,-0.346221,-0.291457,2.578096,5.882645,2.583081,-2.456697,15.435434
171,34.167350,3.152461,-0.404863,-0.213984,2.775097,5.695284,0.728871,-3.203550,15.435434
172,34.367159,3.335659,-0.440736,-0.123446,2.822803,5.485604,-1.271759,-2.680083,15.435434
173,34.566968,3.500018,-0.456394,-0.032815,2.747757,5.327452,-3.036207,-1.200666,15.435434
174,34.766777,3.649205,-0.454564,0.049169,2.577642,5.260181,-4.429469,0.379779,15.435434
175,34.966586,3.782882,-0.437095,0.122703,2.336666,5.280842,-5.484789,1.836506,15.435434
176,35.166395,3.899383,-0.405041,0.191851,2.045003,5.378501,-6.212329,3.148351,15.435434
177,35.366204,3.997800,-0.358757,0.260522,1.720244,5.543086,-6.601591,4.284016,15.435434
178,35.566013,4.078103,-0.297699,0.331794,1.378041,5.765155,-6.610470,5.179648,15.435434
179,35.765822,4.141083,-0.220349,0.404612,1.032637,6.035796,-6.266420,5.804641,15.435434
180,35.965631,4.187349,-0.125485,0.473591,0.697488,6.346248,-5.693913,6.220932,15.435434
181,36.165440,4.217014,-0.014653,0.526322,0.385575,6.687031,-5.140226,6.675503,15.435434
182,36.365249,4.230332,0.101750,0.536181,0.108415,7.046972,-4.926542,7.662800,15.435434
183,36.565058,4.229883,0.200767,0.469555,-0.127128,7.413339,-5.151774,9.573850,15.435434
184,36.764868,4.221351,0.263584,0.316475,-0.322628,7.776648,-5.346898,11.771851,15.435434
185,36.964677,4.209108,0.291036,0.105336,-0.484791,8.133671,-4.644751,12.205017,15.435434
186,37.164486,4.193438,0.290260,-0.113430,-0.616914,8.480851,-3.040468,10.090909,15.435434
187,37.364295,4.171590,0.262113,-0.281542,-0.716546,8.811514,-1.489458,7.474888,15.435434
188,37.564104,4.140877,0.207159,-0.352200,-0.777772,9.118780,-0.335148,5.722596,15.435434
189,37.763913,4.102971,0.140663,-0.312776,-0.793938,9.394812,0.615608,4.668515,15.435434
190,37.963722,4.063525,0.088134,-0.190742,-0.762739,9.631412,1.495955,3.798173,15.435434
191,38.163531,4.026989,0.064961,-0.035751,-0.687357,9.822803,2.266020,2.821027,15.435434
192,38.363340,3.995339,0.072614,0.106695,-0.573600,9.964422,2.892727,1.738260,15.435434
193,38.563149,3.970198,0.104492,0.204318,-0.428446,10.051647,3.420771,0.587544,15.435434
