x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-0.232841,-0.122095,0.5000,0.5000,0.0000
-0.319218,-0.050746,0.5000,0.5000,0.0000
-0.360748,0.041896,0.5000,0.5000,0.0000
-0.394799,0.159746,0.5000,0.5000,0.0000
-0.416651,0.269231,0.5000,0.5000,0.0000
-0.416162,0.374504,0.5000,0.5000,0.0000
-0.416896,0.492333,0.5000,0.5000,0.0000
-0.437001,0.596989,0.5000,0.5000,0.0000
-0.434274,0.703331,0.5000,0.5000,0.0000
-0.448244,0.827789,0.5000,0.5000,0.0000
-0.469424,0.949571,0.5000,0.5000,0.0000
-0.485742,1.077545,0.5000,0.5000,0.0000
-0.482297,1.200324,0.5000,0.5000,0.0000
-0.489054,1.314853,0.5000,0.5000,0.0000
-0.495282,1.431343,0.5000,0.5000,0.0000
-0.500637,1.553736,0.5000,0.5000,0.0000
-0.505865,1.671576,0.5000,0.5000,0.0000
-0.516002,1.771193,0.5000,0.5000,0.0000
-0.528510,1.895507,0.5000,0.5000,0.0000
-0.526535,1.997407,0.5000,0.5000,0.0000
-0.536383,2.098893,0.5000,0.5000,0.0000
-0.528571,2.199046,0.5000,0.5000,0.0000
-0.514729,2.299578,0.5000,0.5000,0.0000
-0.500526,2.410471,0.5000,0.5000,0.0000
-0.479032,2.516353,0.5000,0.5000,0.0000
-0.448797,2.616699,0.5000,0.5000,0.0000
-0.415036,2.719083,0.5000,0.5000,0.0000
-0.377322,2.827664,0.5000,0.5000,0.0000
-0.360689,2.932268,0.5000,0.5000,0.0000
-0.325650,3.028020,0.5000,0.5000,0.0000
-0.288963,3.126686,0.5000,0.5000,0.0000
-0.246638,3.222925,0.5000,0.5000,0.0000
-0.212626,3.342977,0.5000,0.5000,0.0000
-0.166658,3.446488,0.5000,0.5000,0.0000
-0.117062,3.535209,0.5000,0.5000,0.0000
-0.047604,3.625506,0.5000,0.5000,0.0000
-0.004550,3.723029,0.5000,0.5000,0.0000
0.069599,3.825605,0.5000,0.5000,0.0000
0.143267,3.926247,0.5000,0.5000,0.0000
0.193994,4.013854,0.5000,0.5000,0.0000
0.214229,4.112260,0.5000,0.5000,0.0000
0.218225,4.230246,0.5000,0.5000,0.0000
0.236928,4.352784,0.5000,0.5000,0.0000
0.255534,4.479657,0.5000,0.5000,0.0000
0.251915,4.597646,0.5000,0.5000,0.0000
