x_m,y_m,z_m
5.009016,10.209269,0.148690
5.109671,10.211605,0.069750
5.210006,10.188432,0.004177
5.313079,10.184656,-0.059856
5.420643,10.193286,-0.132821
5.529060,10.197337,-0.181183
5.632390,10.189155,-0.209540
5.729397,10.148282,-0.219480
5.804698,10.082115,-0.226231
5.867151,9.996277,-0.222004
5.910079,9.904496,-0.216772
5.935693,9.806709,-0.213084
5.939137,9.705310,-0.212950
5.927880,9.602413,-0.210115
5.909246,9.500949,-0.206902
5.872055,9.405927,-0.206253
5.837864,9.307960,-0.213978
5.800644,9.213849,-0.216911
5.755404,9.117256,-0.214367
5.732122,9.019756,-0.215343
5.712251,8.916773,-0.211826
5.680322,8.814995,-0.213589
5.654927,8.708973,-0.207600
5.621579,8.601570,-0.212640
5.587550,8.496034,-0.209851
5.555893,8.392170,-0.209915
5.526905,8.295080,-0.211155
5.489378,8.190842,-0.216831
5.451275,8.088345,-0.206284
5.403426,7.996412,-0.209157
5.340637,7.905330,-0.214894
5.274752,7.824469,-0.204274
5.201488,7.749641,-0.207809
5.115205,7.680530,-0.208628
5.025574,7.623130,-0.204706
4.933773,7.581811,-0.204965
4.834369,7.535633,-0.199861
4.731693,7.511113,-0.208448
4.629644,7.501440,-0.206832
4.529895,7.493449,-0.205465
4.424879,7.495698,-0.208541
4.317484,7.505571,-0.205339
4.217410,7.531279,-0.198930
4.119306,7.568969,-0.200986
4.026176,7.619099,-0.200429
3.939271,7.674851,-0.201152
3.854180,7.737290,-0.200905
3.774204,7.808920,-0.197035
3.693199,7.898474,-0.200470
3.625701,7.988110,-0.200950
3.570093,8.072797,-0.205214
3.523483,8.168856,-0.203287
3.495826,8.266855,-0.195449
3.465027,8.364202,-0.199244
3.443042,8.462813,-0.202612
3.422576,8.561601,-0.200939
3.411340,8.669023,-0.205791
3.403006,8.771506,-0.204780
3.397157,8.876101,-0.203680
3.396396,8.978870,-0.207352
3.399761,9.080983,-0.212466
3.403869,9.181706,-0.213139
3.420943,9.284778,-0.215362
3.423977,9.389361,-0.218078
3.425727,9.498634,-0.221295
3.424609,9.601441,-0.228218
3.419723,9.702568,-0.227063
3.411016,9.805948,-0.226904
3.401076,9.914506,-0.227769
3.389963,10.013940,-0.230178
3.372751,10.118831,-0.230111
3.364250,10.220479,-0.226929
3.346740,10.323550,-0.224317
3.325030,10.428720,-0.225630
3.301759,10.527928,-0.225994
3.272638,10.628075,-0.230723
3.240843,10.724421,-0.236864
3.184078,10.810647,-0.239521
3.127242,10.894375,-0.241185
3.050318,10.959498,-0.238534
2.965314,11.024469,-0.237490
2.874705,11.076652,-0.238342
2.782972,11.124269,-0.245304
2.684270,11.141378,-0.243653
2.581601,11.149017,-0.241606
2.479159,11.144507,-0.243920
2.373645,11.138741,-0.246266
2.269859,11.122945,-0.238330
2.169999,11.108962,-0.241868
2.069370,11.088780,-0.244758
1.971075,11.065354,-0.241479
1.875951,11.023609,-0.241936
1.779887,10.981847,-0.238562
1.698505,10.920923,-0.236730
1.621206,10.852275,-0.237724
1.544200,10.780245,-0.235706
1.483869,10.694932,-0.228926
1.436012,10.604883,-0.234936
1.388707,10.508329,-0.225535
1.354528,10.412010,-0.228378
1.335245,10.307718,-0.222469
1.317494,10.208448,-0.220553
1.305325,10.106070,-0.218539
1.298260,10.002105,-0.220713
1.286195,9.897865,-0.219858
1.271584,9.788725,-0.219522
1.258070,9.674924,-0.215453
1.241469,9.567602,-0.216133
1.223877,9.454657,-0.219653
1.212515,9.343891,-0.210244
1.198787,9.244606,-0.210857
1.179161,9.140882,-0.209387
1.155709,9.029704,-0.219264
1.136658,8.927948,-0.208874
1.121139,8.825272,-0.212436
1.099423,8.716579,-0.207852
1.081361,8.606921,-0.203315
1.062650,8.507527,-0.205230
1.042137,8.400267,-0.208438
1.022231,8.301852,-0.209688
0.999543,8.202584,-0.214728
0.967781,8.099809,-0.213569
0.920753,8.003325,-0.215559
0.858495,7.911733,-0.213505
0.789947,7.836054,-0.209174
0.705935,7.774186,-0.198663
0.623495,7.710326,-0.204239
0.529760,7.659923,-0.203737
0.423050,7.611490,-0.207630
0.321662,7.582565,-0.208973
0.214187,7.562360,-0.209018
0.106945,7.557823,-0.199871
0.002706,7.564481,-0.201132
-0.102279,7.569288,-0.203319
-0.204740,7.599612,-0.203156
-0.298949,7.635551,-0.210256
-0.393710,7.687577,-0.201155
-0.482234,7.740766,-0.205040
-0.562465,7.809424,-0.207276
-0.634653,7.879806,-0.204083
-0.691012,7.973255,-0.208287
-0.728965,8.069751,-0.201604
-0.757913,8.167286,-0.210580
-0.771190,8.268226,-0.205773
-0.766667,8.373139,-0.208814
-0.762950,8.476644,-0.205632
-0.756451,8.577209,-0.207735
-0.739910,8.691416,-0.204959
-0.731485,8.748929,-0.203060
