x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
3.403006,8.771506,0.5000,0.5000,0.0000
3.397157,8.876101,0.5000,0.5000,0.0000
3.396396,8.978870,0.5000,0.5000,0.0000
3.399761,9.080983,0.5000,0.5000,0.0000
3.403869,9.181706,0.5000,0.5000,0.0000
3.420943,9.284778,0.5000,0.5000,0.0000
3.423977,9.389361,0.5000,0.5000,0.0000
3.425727,9.498634,0.5000,0.5000,0.0000
3.424609,9.601441,0.5000,0.5000,0.0000
3.419723,9.702568,0.5000,0.5000,0.0000
3.411016,9.805948,0.5000,0.5000,0.0000
3.401076,9.914506,0.5000,0.5000,0.0000
3.389963,10.013940,0.5000,0.5000,0.0000
3.372751,10.118831,0.5000,0.5000,0.0000
3.364250,10.220479,0.5000,0.5000,0.0000
3.346740,10.323550,0.5000,0.5000,0.0000
3.325030,10.428720,0.5000,0.5000,0.0000
3.301759,10.527928,0.5000,0.5000,0.0000
3.272638,10.628075,0.5000,0.5000,0.0000
3.240843,10.724421,0.5000,0.5000,0.0000
3.184078,10.810647,0.5000,0.5000,0.0000
3.127242,10.894375,0.5000,0.5000,0.0000
3.050318,10.959498,0.5000,0.5000,0.0000
2.965314,11.024469,0.5000,0.5000,0.0000
2.874705,11.076652,0.5000,0.5000,0.0000
2.782972,11.124269,0.5000,0.5000,0.0000
2.684270,11.141378,0.5000,0.5000,0.0000
2.581601,11.149017,0.5000,0.5000,0.0000
2.479159,11.144507,0.5000,0.5000,0.0000
2.373645,11.138741,0.5000,0.5000,0.0000
2.269859,11.122945,0.5000,0.5000,0.0000
2.169999,11.108962,0.5000,0.5000,0.0000
2.069370,11.088780,0.5000,0.5000,0.0000
1.971075,11.065354,0.5000,0.5000,0.0000
1.875951,11.023609,0.5000,0.5000,0.0000
1.779887,10.981847,0.5000,0.5000,0.0000
1.698505,10.920923,0.5000,0.5000,0.0000
1.621206,10.852275,0.5000,0.5000,0.0000
1.544200,10.780245,0.5000,0.5000,0.0000
1.483869,10.694932,0.5000,0.5000,0.0000
1.436012,10.604883,0.5000,0.5000,0.0000
1.388707,10.508329,0.5000,0.5000,0.0000
1.354528,10.412010,0.5000,0.5000,0.0000
1.335245,10.307718,0.5000,0.5000,0.0000
1.317494,10.208448,0.5000,0.5000,0.0000
1.305325,10.106070,0.5000,0.5000,0.0000
1.298260,10.002105,0.5000,0.5000,0.0000
1.286195,9.897865,0.5000,0.5000,0.0000
1.271584,9.788725,0.5000,0.5000,0.0000
1.258070,9.674924,0.5000,0.5000,0.0000
1.241469,9.567602,0.5000,0.5000,0.0000
1.223877,9.454657,0.5000,0.5000,0.0000
1.212515,9.343891,0.5000,0.5000,0.0000
1.198787,9.244606,0.5000,0.5000,0.0000
1.179161,9.140882,0.5000,0.5000,0.0000
1.155709,9.029704,0.5000,0.5000,0.0000
1.136658,8.927948,0.5000,0.5000,0.0000
1.121139,8.825272,0.5000,0.5000,0.0000
1.099423,8.716579,0.5000,0.5000,0.0000
1.081361,8.606921,0.5000,0.5000,0.0000
1.062650,8.507527,0.5000,0.5000,0.0000
1.042137,8.400267,0.5000,0.5000,0.0000
1.022231,8.301852,0.5000,0.5000,0.0000
0.999543,8.202584,0.5000,0.5000,0.0000
0.967781,8.099809,0.5000,0.5000,0.0000
0.920753,8.003325,0.5000,0.5000,0.0000
0.858495,7.911733,0.5000,0.5000,0.0000
0.789947,7.836054,0.5000,0.5000,0.0000
0.705935,7.774186,0.5000,0.5000,0.0000
0.623495,7.710326,0.5000,0.5000,0.0000
0.529760,7.659923,0.5000,0.5000,0.0000
0.423050,7.611490,0.5000,0.5000,0.0000
0.321662,7.582565,0.5000,0.5000,0.0000
0.214187,7.562360,0.5000,0.5000,0.0000
0.106945,7.557823,0.5000,0.5000,0.0000
0.002706,7.564481,0.5000,0.5000,0.0000
-0.102279,7.569288,0.5000,0.5000,0.0000
-0.204740,7.599612,0.5000,0.5000,0.0000
-0.298949,7.635551,0.5000,0.5000,0.0000
-0.393710,7.687577,0.5000,0.5000,0.0000
-0.482234,7.740766,0.5000,0.5000,0.0000
-0.562465,7.809424,0.5000,0.5000,0.0000
-0.634653,7.879806,0.5000,0.5000,0.0000
