ts,lap_count,lap_time,valid,infeasible_count,mean_abs_n,max_abs_n,p95_abs_n,max_ay_usage,mean_ay_usage,max_abs_slip_f,max_abs_slip_r,u_steer_rate_rms,omega_oscillation_hz,solve_p50_ms,solve_p99_ms,vx_mean,vx_max,applied_diff_json,state
1777465869.148,-1,90.0000,1,0,0.6729,1.5062,1.2940,0.000,0.000,0.0000,0.0000,0.1237,0.00,0.00,0.00,1.011,1.250,{},WARMUP
1777465964.164,-1,90.0000,1,0,0.6994,1.5076,1.2721,0.000,0.000,0.0000,0.0000,0.1219,0.00,0.00,0.00,1.003,1.243,{},ACTIVE
1777466009.455,2,84.9462,1,0,0.6805,1.5076,1.3035,0.000,0.000,0.0000,0.0000,0.1294,0.00,0.00,0.00,1.003,1.251,"{""qV"":{""old"":0.2,""new"":0.216,""mult"":1.08,""rules"":[""speed_headroom""],""clamped"":false},""v_max"":{""old"":3.0,""new"":3.15,""mult"":1.05,""rules"":[""speed_headroom""],""clamped"":false},""qC"":{""old"":0.1,""new"":0.1,""mult"":0.8,""rules"":[""corner_exit_understeer"",""corner_explore_lower_qC""],""clamped"":true},""qMu"":{""old"":0.5,""new"":0.6,""mult"":1.2,""rules"":[""corner_exit_understeer"",""corner_late_turn_in""],""clamped"":false},""qC_term"":{""old"":10.0,""new"":9.2,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false},""qL_term"":{""old"":1.0,""new"":0.92,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false}}",ACTIVE
1777466093.729,3,84.2618,1,0,0.6801,1.5209,1.3183,0.000,0.000,0.0000,0.0000,0.1268,0.00,0.00,0.00,1.013,1.296,"{""qV"":{""old"":0.216,""new"":0.23328,""mult"":1.08,""rules"":[""speed_headroom""],""clamped"":false},""v_max"":{""old"":3.15,""new"":3.3075,""mult"":1.05,""rules"":[""speed_headroom""],""clamped"":false},""qC"":{""old"":0.1,""new"":0.1,""mult"":0.8,""rules"":[""corner_exit_understeer"",""corner_explore_lower_qC""],""clamped"":true},""qMu"":{""old"":0.6,""new"":0.72,""mult"":1.2,""rules"":[""corner_exit_understeer"",""corner_late_turn_in""],""clamped"":false},""qC_term"":{""old"":9.2,""new"":8.464,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false},""qL_term"":{""old"":0.92,""new"":0.8464,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false}}",ACTIVE
