,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.332836,2.510337,-0.303036,0.008397,-0.595056,-5.651468,1.552512,2.353784,7.958205
63,12.531752,2.478360,-0.298056,0.057531,-0.504781,-5.514601,2.022159,3.810627,7.958205
64,12.730669,2.451246,-0.286750,0.088940,-0.380980,-5.281306,2.118134,6.420860,7.958205
65,12.929586,2.431056,-0.271338,0.105092,-0.244161,-4.866556,1.774352,8.599277,7.958205
66,13.128502,2.418598,-0.253346,0.114026,-0.124110,-4.284735,1.144541,10.324678,7.958205
67,13.327419,2.412688,-0.233365,0.120762,-0.043302,-3.555784,0.394564,11.543010,7.958205
68,13.526336,2.410566,-0.211484,0.124986,-0.014184,-2.703926,-0.305575,12.234279,7.958205
69,13.725252,2.408553,-0.188358,0.121946,-0.037842,-1.756724,-0.811331,12.470079,7.958205
70,13.924169,2.402814,-0.165791,0.107931,-0.103650,-0.745255,-1.028798,12.345700,7.958205
71,14.123086,2.390423,-0.146203,0.085567,-0.190366,0.295344,-0.922553,11.955249,7.958205
72,14.322003,2.370586,-0.130330,0.073428,-0.269889,1.325878,-0.506514,11.239392,7.958205
73,14.520919,2.345185,-0.113815,0.094717,-0.313962,2.303836,0.139255,10.034498,7.958205
74,14.719836,2.318186,-0.088676,0.159321,-0.301749,3.183860,0.843587,8.201722,7.958205
75,14.918753,2.294597,-0.046290,0.259524,-0.226394,3.916502,1.359924,5.773302,7.958205
76,15.117669,2.279537,0.018597,0.366106,-0.101450,4.446928,1.465079,2.990917,7.958205
77,15.316586,2.276391,0.100841,0.434462,0.032752,4.720898,1.048100,0.247728,7.958205
78,15.515503,2.282762,0.181150,0.422181,0.120105,4.741544,0.450644,0.937392,7.958205
79,15.714419,2.292211,0.240425,0.327546,0.151467,4.806780,0.032550,1.018558,7.958205
80,15.913336,2.301213,0.275499,0.190206,0.153389,4.866932,-0.283448,1.005793,7.958205
81,16.112253,2.309263,0.290760,0.053038,0.137712,4.922561,-0.467809,0.534871,7.958205
82,16.311170,2.316540,0.290833,-0.038260,0.110254,4.953955,-0.541103,0.267386,7.958205
83,16.510086,2.322633,0.282542,-0.058162,0.074583,4.971582,-0.539307,0.175461,7.958205
84,16.709003,2.326543,0.274677,-0.035875,0.036674,4.983915,-0.465352,0.092520,7.958205
85,16.907920,2.327966,0.270154,-0.027024,0.004475,4.990317,-0.297756,-0.137951,7.958205
86,17.106836,2.327625,0.263913,-0.064003,-0.014944,4.981320,-0.003282,-0.318553,7.958205
87,17.305753,2.326682,0.249446,-0.139066,-0.015150,4.961351,0.419641,-0.482588,7.958205
88,17.504670,2.326572,0.222425,-0.224177,0.011722,4.930448,0.993331,-0.081242,7.958205
89,17.703586,2.329791,0.180985,-0.285518,0.080822,4.924797,1.376540,-2.482933,7.958205
90,17.902503,2.340126,0.128503,-0.295767,0.187047,4.733194,1.274598,-4.926678,7.958205
91,18.101420,2.360014,0.075436,-0.246739,0.292721,4.324736,0.810732,-7.094017,7.958205
92,18.300337,2.387608,0.035304,-0.150969,0.361147,3.725997,0.133616,-9.030674,7.958205
93,18.499253,2.418101,0.016484,-0.037590,0.372258,2.975053,-0.594089,-10.547730,7.958205
94,18.698170,2.446605,0.019572,0.064816,0.323585,2.110904,-1.199979,-11.542939,7.958205
95,18.897087,2.469018,0.040599,0.139556,0.225648,1.168811,-1.564481,-12.093952,7.958205
96,19.096003,2.482232,0.073108,0.175895,0.097835,0.180777,-1.634769,-12.338638,7.958205
97,19.294920,2.484782,0.108333,0.166595,-0.035138,-0.822850,-1.390994,-12.257190,7.958205
98,19.493837,2.477412,0.137286,0.118246,-0.147436,-1.812404,-0.842445,-11.621441,7.958205
99,19.692753,2.462637,0.154378,0.051082,-0.215945,-2.757481,-0.082044,-10.305470,7.958205
100,19.891670,2.444191,0.158102,-0.012059,-0.222843,-3.623902,0.717457,-8.430982,7.958205
101,20.090587,2.427275,0.150699,-0.050569,-0.159329,-4.370272,1.361874,-6.233744,7.958205
102,20.289504,2.418361,0.138155,-0.056015,-0.033277,-4.947253,1.652270,-3.788682,7.958205
