%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1774712689871255636,7665,1774712689871255636,map,421,42.10109652118683,-1.0587831045539092e-05,0.009005431846312929,0.0,0.0,0.949505339061119,0.31375087425285286,4.622599139651375,0.3142988148892858,8.465067100861737e-05,0.0,0.0,0.0
1774712689891206502,7666,1774712689891206502,map,422,42.193767663625465,-0.00036173381241596993,0.009006469731967883,0.0,0.0,0.9422570894880873,0.3348903959647675,4.541551863414053,0.32290603343675883,5.0896039583848144e-05,0.0,0.0,0.0
1774712689911270380,7667,1774712689911270380,map,423,42.284836918050324,-0.0008249060298262598,0.009006938899956879,0.0,0.0,0.934175955651836,0.3568126733763517,4.4611081584767875,0.33167598928443587,2.0595348417000758e-05,0.0,0.0,0.0
1774712689931259393,7668,1774712689931259393,map,424,42.37431662422251,-0.0014119449872387786,0.00900690143097362,0.0,0.0,0.9251799643110223,0.37952869935942307,4.380778475276649,0.34042114436003734,-6.834136663892872e-06,0.0,0.0,0.0
1774712689951264619,7669,1774712689951264619,map,425,42.46221414992152,-0.0021364713664639608,0.009006344640104929,0.0,0.0,0.9151893778872213,0.4030240719887594,4.302170227499385,0.3494055333390944,-3.650717173729251e-05,0.0,0.0,0.0
1774712689971263647,7670,1774712689971263647,map,425,42.548515861525075,1.2836953722228372e-16,0.009005306280198393,0.0,0.0,0.9041096005586206,0.42730063208206415,4.237063865348064,0.11725157967152855,-6.35183163538204e-05,0.0,0.0,0.0
1774712689991275548,7671,1774712689991275548,map,426,42.63328220229715,3.434752482434078e-16,0.009004016193656353,0.0,0.0,0.8918557495969183,0.4523199331346332,4.162406309709922,0.12017222058539012,-6.490844890545161e-05,0.0,0.0,0.0
1774712690011275768,7672,1774712690011275768,map,427,42.71655919737326,8.500145032286355e-17,0.009002782770110346,0.0,0.0,0.8783307266493382,0.4780534851077288,4.087925240665871,0.12303762776471605,-4.621575163626509e-05,0.0,0.0,0.0
1774712690031267881,7673,1774712690031267881,map,428,42.798353625010144,-0.00018544099271896436,0.009001858108193936,0.0,0.0,0.8783307266493382,0.4780534851077288,4.072519581589279,0.37530692598114035,-4.621575163626509e-05,0.0,0.0,0.0
1774712690051269531,7674,1774712690051269531,map,429,42.88018132310446,-0.0013627016896212247,0.009000953866077941,0.0,0.0,0.8634509597723334,0.5044327904371763,4.001312100967043,0.38367860792211506,-4.4384094863777045e-05,0.0,0.0,0.0
1774712690071300268,7675,1774712690071300268,map,430,42.96061533750742,-0.0027205452569443733,0.008999966338897556,0.0,0.0,0.847117956493863,0.53140490003919,3.9314188711279043,0.3913087885467932,-5.026784033882593e-05,0.0,0.0,0.0
1774712690091257572,7676,1774712690091257572,map,430,43.039566224000325,-3.1051550219984847e-16,0.008999143596637352,0.0,0.0,0.8292753758504356,0.5588401837807645,3.8841609882120203,0.131140934028112,-3.0841588748832217e-05,0.0,0.0,0.0
1774712690111216783,7677,1774712690111216783,map,431,43.11728670487014,7.546047120499111e-17,0.008998708711516066,0.0,0.0,0.8098329550988357,0.5866605362864347,3.8233652622680445,0.1334543100659713,1.338737280733615e-05,0.0,0.0,0.0
1774712690131210327,7678,1774712690131210327,map,432,43.19381321660684,-0.0005392147425319486,0.008998976534128355,0.0,0.0,0.8098329550988357,0.5866605362864347,3.804142586834164,0.40550111855822224,1.338737280733615e-05,0.0,0.0,0.0
1774712690151254892,7679,1774712690151254892,map,433,43.27038455541519,-0.002276421064355599,0.009000314578287547,0.0,0.0,0.7887515961767232,0.6147120622931288,3.7454411852864933,0.41122453611067566,7.165566170120832e-05,0.0,0.0,0.0
1774712690171267509,7680,1774712690171267509,map,433,43.345681528738275,-1.726049858596923e-16,0.00900230756103477,0.0,0.0,0.766006296930849,0.642833067803989,3.7152318619469127,0.13758205399421486,0.00011763642245389548,0.0,0.0,0.0
