x_m,y_m
1.368554,-4.128505
1.333081,-4.140122
1.296558,-4.150896
1.251361,-4.166311
1.203631,-4.182457
1.156793,-4.195195
1.110985,-4.211087
1.071740,-4.226297
1.028519,-4.241405
0.990009,-4.252385
0.947959,-4.263511
0.908618,-4.274600
0.880852,-4.281248
0.856660,-4.286853
0.835037,-4.292376
0.821631,-4.293304
0.805257,-4.298279
0.797745,-4.302982
0.788508,-4.304718
0.783599,-4.307245
0.779658,-4.311617
0.775237,-4.315788
0.769646,-4.324159
0.766033,-4.333057
0.764363,-4.341538
0.758976,-4.346668
0.751656,-4.354677
0.749711,-4.364427
0.750072,-4.374269
0.748897,-4.383652
0.748483,-4.394578
0.747460,-4.401020
0.747999,-4.411961
0.749109,-4.427078
0.751699,-4.438355
0.758268,-4.450458
0.760643,-4.464051
0.761907,-4.477710
0.772905,-4.488927
0.783722,-4.500090
0.795571,-4.514483
0.811376,-4.523705
0.826081,-4.528980
0.839979,-4.537865
0.858422,-4.542907
0.878194,-4.546384
0.900021,-4.548903
0.922066,-4.549426
0.953730,-4.546740
0.985695,-4.539172
1.015458,-4.533617
1.051252,-4.523203
1.095105,-4.512649
1.135790,-4.501942
1.189042,-4.487213
1.241731,-4.471661
1.293927,-4.455031
1.343298,-4.438680
1.396940,-4.422492
1.453181,-4.402183
1.513599,-4.386062
1.564825,-4.366947
1.623789,-4.347674
1.678192,-4.331314
1.739100,-4.314538
1.797678,-4.297068
1.854355,-4.280337
1.911676,-4.263591
1.969851,-4.246767
2.023547,-4.229992
2.085034,-4.215688
2.137136,-4.201722
2.190146,-4.185432
2.240273,-4.169265
2.290008,-4.156703
2.339590,-4.144009
2.389682,-4.131045
2.438743,-4.118446
2.493419,-4.102550
2.541805,-4.086901
2.594435,-4.070886
2.644940,-4.053954
2.697609,-4.037264
2.747127,-4.021566
2.805049,-4.003737
2.856629,-3.983748
2.907955,-3.964723
2.952333,-3.952254
3.002985,-3.933955
3.057598,-3.913402
3.110318,-3.896980
3.164019,-3.878567
3.220591,-3.858977
3.269059,-3.840479
3.328984,-3.825425
3.384559,-3.811159
3.446181,-3.789484
3.501210,-3.774182
3.553563,-3.760419
3.606159,-3.746347
3.656047,-3.731743
3.705278,-3.718260
3.754705,-3.705917
3.799560,-3.690432
3.849569,-3.674080
3.892676,-3.662401
3.938756,-3.650586
3.988891,-3.632821
4.038851,-3.614789
4.091362,-3.598004
4.143229,-3.579638
4.196579,-3.560147
4.251646,-3.542501
4.306182,-3.525415
4.362273,-3.508148
4.423133,-3.487183
