x_m,y_m
1.352574,-2.763285
1.321914,-2.774400
1.289921,-2.785796
1.262279,-2.793259
1.240053,-2.800898
1.214338,-2.811013
1.193917,-2.819815
1.165246,-2.831050
1.128091,-2.846130
1.087567,-2.857897
1.046759,-2.869603
1.001129,-2.886169
0.951100,-2.903283
0.906688,-2.918867
0.856456,-2.934102
0.801608,-2.952023
0.754811,-2.968660
0.712629,-2.981876
0.673734,-2.994116
0.633953,-3.010369
0.595229,-3.022015
0.555286,-3.034859
0.514804,-3.047148
0.478948,-3.057043
0.445513,-3.066826
0.402147,-3.077698
0.362650,-3.089432
0.318566,-3.103099
0.279330,-3.114044
0.183282,-3.192877
0.093301,-3.281362
0.003947,-3.374503
-0.080984,-3.476347
-0.163421,-3.578514
-0.230632,-3.690740
-0.297813,-3.808823
-0.361765,-3.934094
-0.424674,-4.063610
-0.425135,-4.124809
-0.425548,-4.185920
-0.425519,-4.242148
-0.425716,-4.295122
-0.425598,-4.353594
-0.425502,-4.413358
-0.425319,-4.472488
-0.424735,-4.536504
-0.424237,-4.606209
-0.423965,-4.684096
-0.343893,-4.846712
-0.246798,-5.004265
-0.131199,-5.151121
-0.000253,-5.288971
0.153891,-5.407561
0.314076,-5.519838
0.476916,-5.619021
0.658083,-5.700906
0.839187,-5.773460
0.945185,-5.751356
1.034220,-5.731411
1.110180,-5.717939
1.180810,-5.701342
1.224926,-5.689790
1.259538,-5.678806
1.321010,-5.667560
1.364718,-5.662321
1.424789,-5.652546
1.481376,-5.641682
1.547495,-5.633367
1.614070,-5.623143
1.681699,-5.611516
1.752670,-5.600515
1.835323,-5.589144
1.891443,-5.577418
1.948859,-5.565131
2.004402,-5.553917
2.058182,-5.542707
2.112725,-5.531813
2.163066,-5.521278
2.213143,-5.510884
2.268259,-5.499941
2.315899,-5.489681
2.368130,-5.479296
2.421806,-5.469143
2.470839,-5.458604
2.524362,-5.448033
2.563628,-5.437353
2.616824,-5.427584
2.661688,-5.422114
2.706345,-5.416658
2.755676,-5.409489
2.808696,-5.398200
2.860510,-5.387012
2.902476,-5.380685
2.954853,-5.374777
3.016470,-5.368716
3.064434,-5.361365
3.116429,-5.352540
3.177381,-5.341615
3.234365,-5.331112
3.280105,-5.324187
3.339934,-5.313529
3.410439,-5.301442
3.465685,-5.289065
3.519448,-5.276612
3.587236,-5.261334
3.647118,-5.251744
3.697487,-5.244789
3.751977,-5.234065
3.817574,-5.223957
3.862289,-5.217724
3.897764,-5.211215
3.954789,-5.202056
4.007338,-5.196651
4.054035,-5.194073
4.108387,-5.183989
4.163607,-5.173841
4.216189,-5.167004
4.262593,-5.159968
4.318858,-5.152585
4.382359,-5.143460
4.426514,-5.136804
4.470548,-5.126423
4.521075,-5.116843
4.571216,-5.110965
4.626689,-5.099300
4.679112,-5.088482
4.744404,-5.072911
4.805399,-5.057864
4.860578,-5.045341
4.919284,-5.033511
4.982741,-5.019110
5.035741,-5.002847
5.099686,-4.986735
5.156513,-4.976024
5.217803,-4.963827
5.265582,-4.953887
5.316231,-4.943943
5.372915,-4.934495
5.427728,-4.924295
5.480755,-4.916593
5.534875,-4.909760
5.582401,-4.900158
5.631823,-4.889670
5.682634,-4.874951
5.729890,-4.868814
5.780690,-4.856430
5.822599,-4.844475
5.864807,-4.832664
5.909193,-4.821588
5.946547,-4.811305
5.984720,-4.803843
6.017527,-4.797771
6.044593,-4.797376
6.076047,-4.791319
6.100251,-4.791649
6.123657,-4.792606
6.144079,-4.793658
6.161088,-4.794355
6.182542,-4.795305
6.193044,-4.796231
6.203688,-4.797105
6.216011,-4.797571
6.221320,-4.799227
6.227901,-4.800408
6.237686,-4.800686
6.244360,-4.801793
6.250663,-4.803926
6.255749,-4.804900
6.256779,-4.807102
6.260428,-4.809051
6.263501,-4.811774
6.264093,-4.813727
6.266823,-4.816593
6.266932,-4.819314
6.271219,-4.821526
6.272493,-4.826771
6.271494,-4.829177
6.275227,-4.834170
6.276813,-4.840856
6.273689,-4.847082
6.274853,-4.853133
6.274372,-4.858739
6.274217,-4.863328
6.271093,-4.868989
6.271929,-4.870428
6.271929,-4.877655
6.268872,-4.880143
6.266272,-4.880171
6.268189,-4.881322
6.268057,-4.883494
6.268158,-4.885536
6.268158,-4.890587
6.270059,-4.894143
6.266547,-4.899214
6.262407,-4.902133
6.262589,-4.906578
6.259490,-4.911935
6.255049,-4.915875
6.253298,-4.919014
6.248067,-4.927315
6.243642,-4.929511
6.243583,-4.933175
6.243100,-4.936179
6.244964,-4.941075
6.241509,-4.945924
6.240448,-4.950883
6.240448,-4.956265
6.239036,-4.961673
6.239080,-4.961918
6.236578,-4.964536
6.231471,-4.968093
6.230410,-4.970851
6.223958,-4.971827
6.220102,-4.972531
6.216170,-4.973236
