,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.332836,3.038617,-0.354862,0.007381,0.002279,-6.732030,0.140618,9.877077,6.975405
63,12.531752,3.038860,-0.348056,0.090837,0.008570,-6.290205,-0.357678,10.686805,6.975405
64,12.730669,3.038865,-0.329661,0.162310,-0.008362,-5.784308,-0.914112,11.189066,6.975405
65,12.929586,3.037262,-0.300111,0.220843,-0.054772,-5.216234,-1.481369,11.491671,6.975405
66,13.128502,3.032073,-0.259783,0.269390,-0.135553,-4.589583,-2.007031,11.590233,6.975405
67,13.327419,3.020653,-0.208981,0.308299,-0.253399,-3.909042,-2.441376,11.503593,6.975405
68,13.526336,2.999711,-0.148538,0.333760,-0.408003,-3.180557,-2.759002,11.343442,6.975405
69,13.725252,2.965714,-0.081405,0.338867,-0.595033,-2.411597,-2.962732,11.277892,6.975405
70,13.924169,2.916060,-0.013600,0.318550,-0.805162,-1.611725,-3.044989,11.382280,6.975405
71,14.123086,2.850213,0.047397,0.274119,-1.024350,-0.792389,-2.941920,11.501092,6.975405
72,14.322003,2.768990,0.096984,0.222966,-1.235799,0.034245,-2.560155,11.313959,6.975405
73,14.520919,2.672496,0.136997,0.189199,-1.421716,0.855859,-1.891477,10.710101,6.975405
74,14.719836,2.560548,0.173099,0.186683,-1.563576,1.659110,-1.005855,9.826626,6.975405
75,14.918753,2.435078,0.211592,0.213474,-1.642309,2.428288,0.017815,8.957135,6.975405
76,15.117669,2.303808,0.254911,0.246159,-1.640885,3.144543,1.176384,8.387693,6.975405
77,15.316586,2.181405,0.297728,0.248821,-1.550650,3.787920,2.567866,8.228210,6.975405
78,15.515503,2.082446,0.330202,0.192600,-1.377057,4.344165,4.167424,8.023593,6.975405
79,15.714419,2.009597,0.346987,0.082555,-1.135386,4.809456,5.401637,6.856203,6.975405
80,15.913336,1.955894,0.349103,-0.042176,-0.841985,5.181865,5.750923,4.803865,6.975405
81,16.112253,1.916878,0.338528,-0.138049,-0.510075,5.459117,5.282751,2.539954,6.975405
82,16.311170,1.894429,0.318411,-0.157003,-0.151643,5.631452,4.642412,0.671928,6.975405
83,16.510086,1.897034,0.299645,-0.080459,0.217257,5.684845,4.196577,-0.874791,6.975405
84,16.709003,1.930238,0.296398,0.040349,0.570865,5.611134,3.880316,-2.421844,6.975405
85,16.907920,1.988695,0.310430,0.127506,0.882913,5.416374,3.587104,-4.220188,6.975405
86,17.106836,2.060418,0.330292,0.135708,1.137579,5.116762,3.132808,-6.292283,6.975405
87,17.305753,2.136329,0.344294,0.071193,1.330306,4.729667,2.321621,-8.212960,6.975405
88,17.504670,2.214809,0.346830,-0.033688,1.460861,4.267816,1.172799,-9.326341,6.975405
89,17.703586,2.299589,0.335347,-0.141585,1.527408,3.738619,-0.034179,-9.463137,6.975405
90,17.902503,2.394822,0.308375,-0.219881,1.525276,3.148188,-1.076394,-9.233757,6.975405
91,18.101420,2.499117,0.267641,-0.249697,1.449808,2.500790,-1.957165,-9.232531,6.975405
92,18.300337,2.603088,0.220931,-0.233300,1.301909,1.803107,-2.742945,-9.625026,6.975405
93,18.499253,2.694741,0.177764,-0.194388,1.091863,1.066055,-3.404327,-10.204340,6.975405
94,18.698170,2.766988,0.142024,-0.158856,0.836815,0.301558,-3.850497,-10.712323,6.975405
95,18.897087,2.817767,0.111971,-0.140871,0.556069,-0.479495,-4.026002,-11.033674,6.975405
96,19.096003,2.847209,0.083271,-0.148793,0.268607,-1.267313,-3.905442,-11.103180,6.975405
97,19.294920,2.856439,0.049937,-0.188728,-0.007627,-2.052648,-3.474163,-10.829724,6.975405
98,19.493837,2.847038,0.005396,-0.255254,-0.255685,-2.825899,-2.784229,-10.252175,6.975405
99,19.692753,2.820871,-0.054505,-0.329829,-0.459441,-3.576175,-1.957681,-9.632448,6.975405
100,19.891670,2.781398,-0.127974,-0.387784,-0.604678,-4.290793,-1.100209,-9.363933,6.975405
101,20.090587,2.735641,-0.204164,-0.400114,-0.682877,-4.956347,-0.203619,-9.701941,6.975405
102,20.289504,2.692517,-0.267243,-0.348778,-0.695617,-5.563364,0.803444,-10.143734,6.975405
103,20.488420,2.656193,-0.310420,-0.254950,-0.652315,-6.110063,1.796484,-9.771241,6.975405
104,20.687337,2.626074,-0.337082,-0.156077,-0.563291,-6.594271,2.588037,-8.577161,6.975405
105,20.886254,2.601760,-0.351294,-0.071612,-0.437550,-7.010999,3.084490,-6.921484,6.975405
106,21.085170,2.583834,-0.356293,-0.010867,-0.284366,-7.354738,3.357630,-5.371029,6.975405
107,21.284087,2.573723,-0.354791,0.032590,-0.113848,-7.627507,3.495239,-4.072143,6.975405
108,21.483004,2.572453,-0.347865,0.073866,0.063913,-7.834608,3.513814,-2.960046,6.975405
109,21.681920,2.580060,-0.335190,0.126436,0.239892,-7.982853,3.510835,-2.044625,6.975405
110,21.880837,2.595460,-0.314778,0.216765,0.407036,-8.080194,3.368801,-1.190413,6.975405
111,22.079754,2.617545,-0.281494,0.358481,0.560784,-8.134523,2.668080,-0.299541,6.975405
112,22.278671,2.649487,-0.224839,0.505722,0.696361,-8.149744,1.665945,0.378577,6.975405
113,22.477587,2.699507,-0.132619,0.557132,0.807208,-8.124554,1.015019,0.845144,6.975405
114,22.676504,2.766407,-0.025667,0.456549,0.887355,-8.057821,0.000000,0.000000,6.975405
