v_x,v_y,omega,delta
2.5148393848861836,0.1506029610021858,-1.628911856426242,0.4261648243618579,-0.4572047456749779
2.510500538211547,0.16486556343594927,-1.63357588357997,0.3749532493042873,-0.39348548776519604
2.5061196901006655,0.1783927653136527,-1.638159577738529,0.32302923488980184,-0.33308677248161944
2.501771158383924,0.19062815397053715,-1.6425474661476644,0.2715301233281658,-0.27748976601851355
2.4975385986265497,0.20117524318308774,-1.6466597359877284,0.22146405690608936,-0.2274050559144492
2.493518466415453,-0.057529806228975466,-1.6504383010061858,-0.371929550497851,-0.18266264221233844
2.4898239444365644,-0.05126617950112772,-1.6538163240823718,-0.37895280082055843,-0.14229487259088994
2.486587052318774,-0.04654806110526438,-1.656687190800684,-0.3854041561659807,-0.10472439858849163
2.4839574217945692,-0.04296598450887926,-1.658885550797482,-0.39062537329051134,-0.06795701684769483
2.48209748115039,-0.040010108374641,-1.6601863893213094,-0.39405597549517746,-0.029791064694113398
2.481174135486757,-0.03714444701504538,-1.6603203383529603,-0.3952741865814509,0.011914629070276577
2.4813480686347167,-0.03387941091580729,-1.658995747564376,-0.39402093869711613,0.05897312684154484
2.48276351987209,-0.029831726435416844,-1.6559143112052384,-0.39020548633095437,0.11269057886020259
2.4855410540052056,-0.024763295937507868,-1.6507699432075171,-0.3838931758147526,0.1737663832710264
2.4897735383532247,-0.01859536034707146,-1.643229642221959,-0.37527885937019173,0.24222421731683436
2.4955242901906165,-0.011399309716356332,-1.6329059513201676,-0.36465100915387083,0.31737624669830744
2.502826545367592,-0.003368298941045289,-1.619334744781323,-0.3523511689932419,0.39781797744919556
2.511683472641303,0.005225450679012755,-1.601965417201734,-0.33873318713718104,0.48144572845493383
2.5220684283874384,0.0140819313343577,-1.5801617252494924,-0.32412730721161714,0.5655685567616481
2.533926378476381,0.02292565094861293,-1.5532095266563157,-0.308813533502137,0.6471965058321202
2.5471776885626816,0.031550349019382945,-1.5203291840693884,-0.2930062427304234,0.7234610383648585
2.5617244324868236,0.039848680129071085,-1.4806939640682386,-0.27684977542637584,0.7920241660245562
2.577458534113666,0.047822428669840544,-1.4334656780388575,-0.2604236922612936,0.8513536567997992
2.5942708099976444,0.05557292118773391,-1.3778644344325606,-0.24375574950719697,0.9008507366749776
2.612059934049838,0.06327504331125233,-1.3132764165036077,-0.22683987985355034,0.940914774562287
2.6307408672550565,0.0711396005575019,-1.2393821867646642,-0.20965591418474225,0.973001379996698
2.6502528962500147,0.07936860488802988,-1.156275789175388,-0.19218789197698047,0.9996199261228755
2.6705668358949652,0.08810909819245671,-1.064545600054958,-0.17443881032077085,1.0241836402223643
2.691689796873959,0.09741267191176911,-0.965301048588384,-0.1564414807335598,1.0507049816821679
2.713665880357209,0.10720792302432222,-0.8601474119813215,-0.13826658824688937,1.0833974751865816
2.736572223952011,0.11729181926341405,-0.7511171858478168,-0.1200285885178923,1.1262215784192933
2.760511014933414,0.1273433907345876,-0.6405614179594791,-0.10188833243590355,1.1823838612032413
2.785599135269902,0.13695923708227192,-0.5310034749080385,-0.08405039618470268,1.2538497451222002
2.811957758249593,0.14570604910984944,-0.4249646838997279,-0.06675392834296988,1.3409717007613016
2.839703731006142,0.15318100258787254,-0.3247816954482829,-0.05025746257623164,1.442294858194008
2.8689429894551077,0.15906766638107955,-0.2324420109991033,-0.03481941322281156,1.554584220426323
2.8997648839542065,0.16317607184088895,-0.14945729965118576,-0.020676660863807594,1.6731422579040682
2.9322362234533537,0.16546027458703774,-0.07678307995062439,-0.008024109016248223,1.7924103226675718
2.966394957304645,0.1660114753810128,-0.014794034749392466,0.0030015938940101713,1.9067135796763235
3.0022447693712144,0.16502935824228412,0.036674583726332206,0.012331346593006876,2.0109790921670534
3.039752274467775,0.162779499498147,0.07822379812285915,0.019964634521356495,2.1012950879790577
3.078847673832938,0.15954815703237105,0.11075190882995459,0.025963337293991216,2.1752165191869297
3.1194286097831516,0.15560545620771707,0.13531648362205875,0.030440988675510473,2.231792579449189
3.1613664047361962,0.15118405694686932,0.15302780387842993,0.033550239817170084,2.2713839329356333
3.204513779355306,0.1464742738150315,0.16498529850908586,0.03547024022218872,2.295386050694424
3.2487132095863958,0.14163127895727934,0.17225019013083773,0.03639480162362879,2.3059475467820634
3.293805222645808,0.13678757311984488,0.17583963042315304,0.0365219748616591,2.3057069308853353
3.3396360165751995,0.13206416099769402,0.1767285830134122,0.03604544634907977,2.2975312191822876
3.3860637757466767,0.12757574340440012,0.17584871581354958,0.03514772357322972,2.284245818088736
3.432963238077725,0.12342747754854341,0.17407447957027203,0.03399483915564955,2.268390174300516
3.480228493060815,0.11970314293892717,0.17219054209323703,0.03273226102350643,2.252055253302008
3.5277741771927267,0.1164474788476641,0.1708464380604783,0.031481691786071124,2.2368131118090213
3.5755350742198817,0.11364813160962298,0.17051520760476713,0.03033880466880395,2.2237180340458
3.6234641781832404,0.11122325952268347,0.17147278214657852,0.029372583901490813,2.213375629820963
3.6715297035807826,0.1090191043333996,0.17380459715984595,0.028626916795468395,2.206062384621915
3.7197117228081673,0.10681933601847911,0.17743422890638655,0.028124207976404334,2.2018259214928224
3.767998812919637,0.10436630840456682,0.18216412736291224,0.027870093880635716,2.200500724668522
3.8163848229010626,0.10139296699676915,0.18772047958986043,0.027858557925463354,2.2016818126904854
3.864865899412959,0.0976618082331919,0.19379745466265572,0.02807717951534996,2.204774438295491
3.913437914138925,0.09300499558032971,0.20009885593484197,0.02851204667349359,2.209142150516117
3.9620943269209032,0.08735912905114668,0.2063781967694119,0.029151439190275096,2.2142448279461373
