right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
4.644350,-3.946741,0.139464,6.093028,-5.118607,0.139464,5.234671,-4.436862,0.139464
4.610061,-3.978094,0.139256,5.710198,-5.441452,0.139256,5.117011,-4.658667,0.139256
4.565755,-4.001900,0.139058,5.299821,-5.667140,0.139058,4.929911,-4.825156,0.139058
4.482515,-4.019958,0.139078,4.918567,-5.797721,0.139078,4.690699,-4.900465,0.139078
4.355086,-4.027376,0.139016,4.599610,-5.865733,0.139016,4.442780,-4.937199,0.139016
4.161678,-4.030032,0.139017,4.296507,-5.905474,0.139017,4.195039,-4.899515,0.139017
3.930852,-4.038630,0.138990,4.007229,-5.929921,0.138990,3.947567,-4.859755,0.138990
3.677720,-4.046918,0.139824,3.719249,-5.938986,0.139824,3.697487,-4.847751,0.139824
3.431137,-4.054080,0.139391,3.459786,-5.941454,0.139391,3.446330,-4.850765,0.139391
3.177610,-4.058863,0.139761,3.185404,-5.935784,0.139761,3.195776,-4.846866,0.139761
2.930447,-4.062555,0.139793,2.916657,-5.928564,0.139793,2.944145,-4.843493,0.139793
2.684527,-4.065840,0.139470,2.641858,-5.920132,0.139470,2.692855,-4.838632,0.139470
2.431737,-4.072294,0.139028,2.383565,-5.913691,0.139028,2.441619,-4.833703,0.139028
2.172558,-4.079342,0.138987,2.124618,-5.902974,0.138987,2.182012,-4.829052,0.138987
1.918527,-4.086116,0.139006,1.866629,-5.881534,0.139006,1.931307,-4.824208,0.139006
1.665541,-4.088935,0.139753,1.625843,-5.858182,0.139753,1.680371,-4.818176,0.139753
1.411446,-4.093033,0.140012,1.404158,-5.843744,0.140012,1.428740,-4.811880,0.140012
1.157773,-4.099536,0.139908,1.162387,-5.841095,0.139908,1.177164,-4.806654,0.139908
0.904315,-4.106790,0.139589,0.925194,-5.843788,0.139589,0.920447,-4.802107,0.139589
0.651673,-4.113146,0.139565,0.681999,-5.839052,0.139565,0.669320,-4.801403,0.139565
0.399142,-4.118118,0.139086,0.468169,-5.846158,0.139086,0.418710,-4.797279,0.139086
0.152473,-4.122642,0.138987,0.252312,-5.853631,0.138987,0.167717,-4.792927,0.138987
-0.094526,-4.129492,0.138997,0.009055,-5.880452,0.138997,-0.082421,-4.788974,0.138997
-0.348729,-4.136249,0.139028,-0.257276,-5.899506,0.139028,-0.333726,-4.785050,0.139028
-0.602867,-4.142941,0.138993,-0.558182,-5.923303,0.138993,-0.584161,-4.781324,0.138993
-0.856066,-4.147027,0.139009,-0.807916,-5.934010,0.139009,-0.844980,-4.777208,0.139009
-1.109048,-4.152123,0.139023,-1.075398,-5.943760,0.139023,-1.096434,-4.772378,0.139023
-1.361547,-4.159081,0.139003,-1.292294,-5.949049,0.139003,-1.346878,-4.765827,0.139003
-1.609154,-4.165911,0.139007,-1.538466,-5.960164,0.139007,-1.597408,-4.758784,0.139007
-1.862292,-4.172799,0.138999,-1.764457,-5.971231,0.138999,-1.847726,-4.750570,0.138999
-2.109660,-4.178585,0.139022,-2.027036,-5.986055,0.139022,-2.098846,-4.742174,0.139022
-2.361992,-4.184520,0.138989,-2.288495,-5.996675,0.138989,-2.350802,-4.756405,0.138989
-2.615191,-4.190835,0.139030,-2.535686,-6.007454,0.139030,-2.599081,-4.796748,0.139030
-2.867978,-4.198348,0.139060,-2.789633,-6.018143,0.139060,-2.848389,-4.824241,0.139060
-3.115321,-4.205088,0.138986,-3.039436,-6.029257,0.138986,-3.098050,-4.851154,0.138986
-3.361993,-4.212375,0.139025,-3.305632,-6.039459,0.139025,-3.347035,-4.877241,0.139025
