s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
34.890323,-8.842590,-9.746145,0.139164,-0.815279,-0.000237,-0.000001,0.171962,0.000648,0.000002,-0.928837,0.948957,0.000043,0.000648,0.171962
34.940309,-8.808162,-9.782385,0.139175,-0.806823,-0.000201,-0.000000,0.166348,0.000815,0.000003,-0.929268,0.949210,0.000037,0.000815,0.166348
34.990295,-8.773434,-9.818337,0.139184,-0.798624,-0.000156,-0.000000,0.161711,0.000968,0.000006,-0.930329,0.948903,0.000031,0.000968,0.161711
35.040282,-8.738415,-9.854006,0.139190,-0.790634,-0.000105,0.000000,0.157960,0.001099,0.000008,-0.930864,0.948770,0.000024,0.001099,0.157960
35.090268,-8.703116,-9.889398,0.139194,-0.782816,-0.000047,0.000001,0.154850,0.001199,0.000008,-0.930656,0.948947,0.000016,0.001200,0.154850
35.140254,-8.667545,-9.924516,0.139195,-0.775145,0.000014,0.000001,0.152103,0.001263,0.000007,-0.931077,0.948584,0.000005,0.001263,0.152103
35.190240,-8.631707,-9.959362,0.139192,-0.767607,0.000078,0.000001,0.149485,0.001284,0.000004,-0.931760,0.947928,-0.000007,0.001284,0.149485
35.240226,-8.595609,-9.993939,0.139187,-0.760201,0.000142,0.000001,0.146838,0.001259,0.000001,-0.933049,0.946704,-0.000020,0.001259,0.146838
35.290212,-8.559259,-10.028250,0.139178,-0.752929,0.000203,0.000001,0.144110,0.001187,-0.000003,-0.932849,0.946693,-0.000032,0.001187,0.144110
35.340198,-8.522663,-10.062299,0.139167,-0.745795,0.000259,0.000001,0.141321,0.001070,-0.000006,-0.932594,0.946676,-0.000042,0.001070,0.141321
35.390184,-8.485827,-10.096088,0.139152,-0.738802,0.000309,0.000001,0.138494,0.000917,-0.000007,-0.932806,0.946209,-0.000049,0.000917,0.138494
35.440171,-8.448758,-10.129622,0.139136,-0.731950,0.000350,0.000000,0.135666,0.000734,-0.000006,-0.933305,0.945448,-0.000053,0.000734,0.135666
35.490157,-8.411462,-10.162903,0.139118,-0.725237,0.000382,0.000000,0.132921,0.000530,-0.000004,-0.934263,0.944236,-0.000055,0.000530,0.132921
35.540143,-8.373946,-10.195936,0.139098,-0.718655,0.000403,0.000000,0.130423,0.000315,-0.000002,-0.933422,0.944722,-0.000054,0.000315,0.130423
35.590129,-8.336216,-10.228723,0.139078,-0.712188,0.000413,0.000000,0.128352,0.000096,0.000000,-0.932754,0.945028,-0.000053,0.000096,0.128352
35.640115,-8.298275,-10.261267,0.139057,-0.705810,0.000412,0.000000,0.126828,-0.000123,0.000002,-0.932453,0.944968,-0.000051,-0.000123,0.126828
35.690101,-8.260129,-10.293570,0.139037,-0.699493,0.000401,0.000000,0.125914,-0.000336,0.000002,-0.932439,0.944625,-0.000048,-0.000336,0.125914
35.740087,-8.221781,-10.325632,0.139017,-0.693206,0.000379,0.000000,0.125636,-0.000540,0.000002,-0.932814,0.943880,-0.000045,-0.000540,0.125636
35.790074,-8.183231,-10.357453,0.138999,-0.686917,0.000347,0.000000,0.125989,-0.000734,0.000002,-0.932191,0.944358,-0.000042,-0.000734,0.125989
35.840060,-8.144482,-10.389030,0.138982,-0.680596,0.000306,0.000000,0.126941,-0.000915,0.000002,-0.931784,0.944635,-0.000037,-0.000915,0.126941
35.890046,-8.105533,-10.420360,0.138968,-0.674214,0.000256,0.000001,0.128408,-0.001083,0.000001,-0.931731,0.944555,-0.000032,-0.001083,0.128408
35.940032,-8.066383,-10.451439,0.138957,-0.667749,0.000198,0.000001,0.130248,-0.001237,0.000000,-0.931953,0.944191,-0.000025,-0.001237,0.130248
35.990018,-8.027032,-10.482263,0.138949,-0.661189,0.000133,0.000001,0.132242,-0.001376,-0.000000,-0.932653,0.943390,-0.000018,-0.001376,0.132242
36.040004,-7.987479,-10.512826,0.138944,-0.654532,0.000061,0.000001,0.134093,-0.001498,-0.000001,-0.930682,0.944412,-0.000009,-0.001498,0.134093
36.089990,-7.947721,-10.543123,0.138943,-0.647794,-0.000017,0.000001,0.135528,-0.001602,-0.000001,-0.928844,0.945243,0.000002,-0.001602,0.135528
36.139977,-7.907759,-10.573151,0.138946,-0.640997,-0.000099,0.000000,0.136424,-0.001686,-0.000001,-0.927398,0.945695,0.000012,-0.001686,0.136424
36.189963,-7.867593,-10.602905,0.138953,-0.634168,-0.000185,0.000000,0.136808,-0.001748,-0.000002,-0.926279,0.945817,0.000023,-0.001748,0.136808
36.239949,-7.827225,-10.632385,0.138964,-0.627329,-0.000273,0.000000,0.136832,-0.001784,-0.000003,-0.925506,0.945588,0.000034,-0.001784,0.136832
36.289935,-7.786657,-10.661587,0.138980,-0.620491,-0.000362,0.000000,0.136766,-0.001792,-0.000004,-0.924872,0.945964,0.000045,-0.001792,0.136766
36.339921,-7.745889,-10.690511,0.139000,-0.613651,-0.000451,-0.000000,0.136893,-0.001768,-0.000005,-0.924579,0.946006,0.000056,-0.001768,0.136893
36.389907,-7.704925,-10.719156,0.139025,-0.606795,-0.000538,-0.000000,0.137412,-0.001709,-0.000006,-0.924625,0.945707,0.000068,-0.001710,0.137412
36.439893,-7.663764,-10.747518,0.139054,-0.599901,-0.000621,-0.000001,0.138426,-0.001614,-0.000005,-0.925032,0.945047,0.000081,-0.001614,0.138426
