v_x,v_y,omega,delta
4.815187830162128,-0.2718652350121417,0.2506698645955898,-0.14214638932273013
4.815235525883722,-0.26952682546395984,0.25303646144441033,-0.13987245620215213
4.816180267011809,-0.26747783395464936,0.2554014986528404,-0.13780022896221136
4.818630979825991,-0.2659836309479311,0.2577892888082165,-0.13592468188463316
4.8230641584786165,-0.2652845384580221,0.2602248663735668,-0.13422277236717256
4.82977805669723,-0.22511021280052726,0.2627312923328221,0.0456814059814597
4.838863483188759,-0.22610048312005532,0.2653275824574562,0.046620341869611864
4.850185569119662,-0.2282124791151525,0.2680274511685612,0.047562820737379316
4.86337378987915,-0.23139284118673362,0.2708386700324054,0.04850656733802627
4.877826094766403,-0.23551051337577947,0.2737626410402528,0.04945008606394106
4.892738285196581,-0.2403688347525068,0.27679399525451837,0.05039251827014154
4.907163716440632,-0.2457195160758438,0.2799204540762999,0.05133261653871228
4.920096272170401,-0.2512777899232945,0.2831233568679069,0.05226672273732022
4.930562761302665,-0.25673916176984624,0.28637907967400617,0.053186618759383034
4.937711514773056,-0.26179897422416337,0.2896612899338327,0.054078416183127614
4.94088730188255,-0.26617608579373203,0.2929436887971688,0.054923061099762305
4.939686444013603,-0.26963999251761506,0.29620266714021404,0.055698064094766256
4.933989651309479,-0.2720375651754675,0.2994193050547728,0.056379568419202206
4.923972533691965,-0.27331402591470033,0.3025803566984079,0.05694429364323401
4.910094467955956,-0.27352394987951134,0.3056781645637794,0.05737164332230459
4.893066057544763,-0.2728302182577556,0.3087097756880964,0.05764642753951229
4.873795433813595,-0.271490297210586,0.31167574850279,0.05776205454867815
4.853315692710424,-0.26983061596618385,0.3145790864715533,0.05772340168427355
4.832698207259701,-0.2682118322142088,0.31742452534181936,0.057548560905666186
4.812956264108592,-0.266988858936926,0.32021830055547945,0.05726903365308858
4.794941681208926,-0.2664685356484383,0.3229684574116756,0.056928215832446956
4.779239845827633,-0.26686699084280546,0.3256854229294809,0.05657817299695716
4.766078436357755,-0.26827098637299207,0.32838214430903057,0.05627488209235931
4.7552735598812275,-0.2706113548243376,0.3310732532423666,0.05607239328635901
4.7462333284299705,-0.27365727517317695,0.33377337900378257,0.05601677260393309
4.738024042638752,-0.277035905390192,0.3364951965204541,0.05614077114788079
4.729488599500863,-0.28027580959690757,0.33924782692104927,0.05645972381562209
4.7193978668437815,-0.282867883120417,0.3420359741339146,0.056968965781963844
4.706613704630445,-0.284334873427948,0.34485976175334115,0.057643450369112545
4.690243624159964,-0.28430016761771,0.3477149709171729,0.05844046424779391
4.6697688514087625,-0.28254792981093135,0.35059355204599385,0.05930552953803159
4.645129402594504,-0.27906788402160004,0.3534845259099863,0.06018002708678384
4.616753440396926,-0.2740781668644781,0.35637537827766186,0.06100832744556096
4.585524886728259,-0.26802128579878914,0.3592539469255119,0.06174342947467758
4.552691313088105,-0.2615312762838859,0.3621106713856387,0.06235189024408958
4.519720445721561,-0.2553703568135326,0.36494087546954407,0.06281865424776509
4.4881183010086225,-0.25033322025377513,0.3677465802837846,0.06315051921464135
4.459228705758449,-0.24712512016311122,0.37053721503676373,0.06337637823359371
4.4340430746378825,-0.24623365386607787,0.3733286173169276,0.06354392711895439
4.413054187866035,-0.2478217129306881,0.3761402479504657,0.06371393466278355
4.396182481098113,-0.2516668584195539,0.3789913647665628,0.06395312270650096
4.382789615338702,-0.2571643934165966,0.3818972665603803,0.06432613975567276
4.37177704874243,-0.2633990294981573,0.384866549955025,0.06488701476841657
4.361750821258919,-0.2692749909632033,0.38789997383092717,0.06567094732198572
4.351221717260849,-0.27368196959990954,0.39099099101732687,0.06668796813179505
4.338806930424543,-0.2756672981696202,0.3941274363155883,0.06792025911633313
4.323405352382609,-0.27458296201723936,0.39729370995321345,0.06932421819622112
4.304327987801318,-0.27018151466639945,0.40047298647502966,0.07083691198726275
4.2813732468833114,-0.2626475772587495,0.4036490890735829,0.07238517188273468
4.254844039045826,-0.2525661880730296,0.4068076967581322,0.0738948659571263
4.225509582369358,-0.24084060702083843,0.40993673275074355,0.075298270576302
4.19451780503663,-0.22857772478950428,0.41302619861052076,0.07653897252430374
4.163265488961888,-0.21695904173917305,0.41606813406077925,0.077575204113006
4.133236804101438,-0.20711180231447834,0.41905726444667524,0.07838269268843853
4.1058264445489625,-0.19999118451872755,0.4219921693423541,0.0789571893558981
4.082167551383609,-0.19628253971589327,0.4248761953181531,0.07931603236272317
4.062986030051443,-0.19633276220189455,0.4277174143631372,0.0794979147889258
4.04850239169579,-0.20011965640134505,0.4305274677039911,0.07955999311014497
4.038398094628523,-0.20726588314176447,0.43331958315242436,0.07957169426233382
4.031854521445225,-0.21709974237918278,0.4361062527005153,0.0796056543814938
4.0276615531753395,-0.22875806118518704,0.4388972400854272,0.07972753697781944
4.02438169968579,-0.24131627434248254,0.44169868835048065,0.07998695546120713
4.0205462357292285,-0.2539206749950329,0.4445137221869919,0.08041137937923969
4.014853498937893,-0.26589413204446527,0.44734417808160576,0.0810042232371182
4.006338581379297,-0.2767933252318731,0.45019260498435115,0.08174750197016135
3.9944883590195444,-0.2864099358119754,0.45306380407940644,0.08260840862494351
3.979284481081452,-0.29472320444095157,0.45596550112948536,0.08354786991333213
3.961169187119031,-0.30182253268033543,0.4589078741711423,0.0845283183023263
3.940944154411022,-0.3078244548699749,0.46190187001772826,0.08551870031649449
3.9196264022170655,-0.3128054238460618,0.46495677139347613,0.0864966162701959
3.89829133065792,-0.3167620091876236,0.46807792901231987,0.08744857101863898
3.8779294188472972,-0.31960079918604695,0.4712654895379809,0.08836910563681089
