s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
11.139335,5.004325,7.608748,-0.206893,-2.648177,-0.001316,-0.000176,-0.994384,0.012293,-0.001338,-0.504689,0.495025,-0.002646,0.012467,-0.994381
11.338252,4.821015,7.532341,-0.206803,-2.844761,0.000052,-0.000315,-0.982163,0.001456,-0.000063,-0.501584,0.497707,-0.000012,0.001765,-0.982163
11.537169,4.626357,7.492939,-0.206742,-3.038415,-0.001172,-0.000237,-0.964928,-0.013761,0.000848,-0.505264,0.494450,-0.000282,-0.013533,-0.964931
11.736085,4.427754,7.491567,-0.206177,-3.231266,-0.004808,-0.000026,-0.974088,-0.022802,0.001272,-0.505041,0.494604,-0.003412,-0.022777,-0.974077
11.935002,4.232642,7.528580,-0.204787,-3.427782,-0.009072,-0.000036,-1.001767,-0.020062,-0.001368,-0.500258,0.499806,-0.010455,-0.020026,-1.001726
12.133919,4.048601,7.603175,-0.202657,-3.624826,-0.011984,-0.000218,-0.979411,-0.009218,-0.000470,-0.499924,0.498668,-0.012207,-0.009004,-0.979343
12.332836,3.882367,7.711845,-0.200181,-3.814666,-0.012469,-0.000095,-0.929326,0.004344,0.001709,-0.505044,0.495263,-0.009878,0.004432,-0.929254
12.531752,3.738889,7.849216,-0.197894,-3.993983,-0.009976,0.000090,-0.873602,0.020719,0.000149,-0.498056,0.501117,-0.008566,0.020641,-0.873560
12.730669,3.621151,8.009257,-0.196427,-4.159505,-0.004237,-0.000019,-0.790637,0.036985,-0.001238,-0.503706,0.496134,-0.004588,0.037000,-0.790630
12.929586,3.529996,8.185846,-0.196352,-4.309951,0.003659,-0.000243,-0.722020,0.042397,-0.001014,-0.500595,0.499417,0.001628,0.042572,-0.722005
13.128502,3.465035,8.373687,-0.197867,-4.446594,0.011319,-0.000281,-0.651851,0.034625,0.000632,-0.499457,0.500394,0.008010,0.034808,-0.651800
13.327419,3.424818,8.568349,-0.200731,-4.567941,0.017113,-0.000137,-0.568223,0.023628,0.000811,-0.496810,0.503248,0.010534,0.023706,-0.568137
13.526336,3.406501,8.766301,-0.204541,-4.667966,0.020896,0.000013,-0.437469,0.014406,0.000700,-0.492727,0.507048,0.009840,0.014400,-0.437374
13.725252,3.405101,8.965125,-0.208925,-4.736597,0.022889,0.000211,-0.252587,0.005634,0.001286,-0.495484,0.504654,0.007066,0.005581,-0.252522
13.924169,3.413444,9.163807,-0.213521,-4.764755,0.022987,0.000472,-0.030525,-0.004644,0.001345,-0.490143,0.508384,0.002047,-0.004658,-0.030514
14.123086,3.423096,9.362438,-0.217923,-4.750283,0.020878,0.000244,0.176037,-0.016569,-0.003643,-0.504940,0.494878,-0.007318,-0.016526,0.176003
14.322003,3.426719,9.561272,-0.221686,-4.708765,0.016649,-0.000227,0.241405,-0.025943,-0.001084,-0.498165,0.501349,-0.005103,-0.025998,0.241366
14.520919,3.421376,9.760079,-0.224494,-4.663051,0.011633,-0.000244,0.218222,-0.024496,0.000912,-0.496137,0.504049,-0.001627,-0.024549,0.218201
14.719836,3.407574,9.958495,-0.226396,-4.624413,0.007867,-0.000209,0.170266,-0.013371,-0.000567,-0.490937,0.507170,-0.001907,-0.013407,0.170258
14.918753,3.386515,10.156277,-0.227804,-4.587056,0.006830,-0.000134,0.205339,0.002948,0.001323,-0.481674,0.518410,-0.000079,0.002921,0.205335
15.117669,3.356276,10.352844,-0.229318,-4.525565,0.008871,0.000281,0.412912,0.017570,0.002853,-0.485031,0.515100,-0.000810,0.017686,0.412891
15.316586,3.309177,10.545977,-0.231434,-4.409501,0.012432,0.000625,0.754048,0.018233,0.000609,-0.485764,0.513401,-0.008764,0.018704,0.753979
15.515503,3.233730,10.729702,-0.234181,-4.224176,0.014760,0.000199,1.109294,0.005175,-0.004895,-0.500875,0.499165,-0.021267,0.005396,1.109172
15.714419,3.120884,10.892905,-0.237131,-3.984258,0.014451,-0.000472,1.302959,-0.008281,-0.001852,-0.501144,0.496987,-0.020680,-0.008896,1.302819
15.913336,2.970765,11.022519,-0.239794,-3.722523,0.012086,-0.000423,1.328642,-0.015497,0.002341,-0.494612,0.505252,-0.013716,-0.016059,1.328539
16.112253,2.792318,11.109161,-0.241862,-3.467906,0.008568,-0.000311,1.231389,-0.019871,-0.001215,-0.508255,0.490760,-0.011766,-0.020254,1.231338
16.311170,2.598293,11.151182,-0.243163,-3.251291,0.004460,-0.000396,0.946564,-0.021432,0.000359,-0.494162,0.500466,-0.003863,-0.021807,0.946546
