s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
6.892858,4.513475,10.224905,0.338037,-0.001979,0.317299,-0.004026,-0.022643,0.437067,0.112193,-0.497215,0.501855,0.119258,0.437150,-0.019753
6.992755,4.607676,10.224615,0.304812,-0.004165,0.360809,0.008412,-0.021127,0.434034,0.136815,-0.493448,0.505902,0.144273,0.433853,-0.023417
7.092651,4.700354,10.224207,0.267551,-0.003815,0.403517,0.019027,0.028132,0.421011,0.075717,-0.499071,0.493995,0.064671,0.421427,0.017857
7.192548,4.791397,10.224079,0.226452,0.002053,0.444038,0.022916,0.089350,0.390260,0.002126,-0.514640,0.483267,-0.036258,0.392006,0.071722
7.292444,4.880788,10.224710,0.181878,0.012636,0.480085,0.023555,0.122518,0.331420,0.010685,-0.521550,0.478545,-0.045901,0.333888,0.100832
7.392341,4.968673,10.226351,0.134422,0.024668,0.508408,0.028212,0.118371,0.235630,0.082541,-0.517492,0.481912,0.024919,0.238453,0.096712
7.492237,5.055428,10.228958,0.084966,0.034919,0.525189,0.037512,0.086862,0.100346,0.103652,-0.520127,0.479099,0.060101,0.103094,0.071340
7.592133,5.141687,10.232256,0.034689,0.040455,0.526805,0.042518,0.023983,-0.067990,-0.003433,-0.521590,0.467137,-0.015492,-0.067047,0.023603
7.692030,5.228295,10.235682,-0.014974,0.036513,0.510726,0.032883,-0.102898,-0.253933,-0.189466,-0.540196,0.451824,-0.139168,-0.256747,-0.081371
7.791926,5.316161,10.238086,-0.062426,0.014259,0.476242,0.008811,-0.342655,-0.436455,-0.292466,-0.555967,0.444902,-0.135378,-0.439121,-0.300669
7.891823,5.406010,10.237274,-0.106036,-0.038184,0.424770,-0.016967,-0.707284,-0.594049,-0.223630,-0.546702,0.447592,0.067850,-0.583030,-0.654416
7.991719,5.497930,10.229807,-0.144305,-0.130834,0.359753,-0.030970,-1.147640,-0.707656,-0.056706,-0.530685,0.457433,0.347313,-0.674056,-1.095570
8.091616,5.590746,10.211412,-0.176052,-0.267147,0.286288,-0.029425,-1.581438,-0.763159,0.087637,-0.517568,0.475528,0.534224,-0.718196,-1.538868
8.191512,5.681499,10.178065,-0.200597,-0.442258,0.210447,-0.018320,-1.924409,-0.755233,0.134687,-0.509084,0.491334,0.536690,-0.720631,-1.895471
8.291409,5.765627,10.127409,-0.217870,-0.644685,0.138290,-0.006753,-2.128330,-0.689410,0.096888,-0.509804,0.488986,0.390276,-0.675158,-2.112619
8.391305,5.838012,10.059681,-0.228405,-0.860488,0.074897,0.000010,-2.192199,-0.579746,0.038514,-0.514595,0.484574,0.202550,-0.579768,-2.186048
8.491202,5.894380,9.977595,-0.233217,-1.076554,0.023730,0.001896,-2.133616,-0.444660,-0.000744,-0.516130,0.483513,0.049882,-0.448705,-2.132168
8.591098,5.932323,9.885381,-0.233604,-1.281642,-0.013614,0.001113,-1.972390,-0.303002,-0.014936,-0.515804,0.484196,-0.041788,-0.305197,-1.971869
8.690995,5.951620,9.787549,-0.230953,-1.466371,-0.037275,-0.000363,-1.726015,-0.170706,-0.014628,-0.513777,0.485353,-0.078951,-0.170079,-1.724878
8.790891,5.953946,9.687880,-0.226565,-1.623441,-0.048754,-0.001453,-1.418627,-0.059116,-0.007188,-0.516708,0.482569,-0.076325,-0.057057,-1.417026
8.890788,5.942219,9.588867,-0.221542,-1.748336,-0.050444,-0.001842,-1.081874,0.025298,-0.000606,-0.517652,0.482433,-0.055157,0.027289,-1.080449
8.990684,5.919880,9.491655,-0.216723,-1.839303,-0.045151,-0.001666,-0.739355,0.080665,0.004145,-0.515422,0.483700,-0.029226,0.081895,-0.738466
9.090581,5.890379,9.396315,-0.212662,-1.897096,-0.035697,-0.001089,-0.417696,0.108611,0.007409,-0.520150,0.479306,-0.007499,0.109065,-0.417311
9.190477,5.856832,9.302272,-0.209647,-1.925276,-0.024604,-0.000347,-0.146486,0.113476,0.007429,-0.523013,0.477100,0.003825,0.113527,-0.146402
9.290374,5.821796,9.208741,-0.207736,-1.929762,-0.013855,0.000237,0.056676,0.101734,0.004278,-0.521352,0.478479,0.005063,0.101747,0.056647
9.390270,5.787170,9.115043,-0.206824,-1.917658,-0.004747,0.000465,0.185645,0.080604,0.000281,-0.521459,0.478806,0.001163,0.080691,0.185605
9.490167,5.754158,9.020761,-0.206711,-1.896736,0.002065,0.000353,0.233240,0.055775,-0.002520,-0.523457,0.473353,-0.003002,0.055857,0.233220
9.590063,5.723247,8.925771,-0.207155,-1.874380,0.006409,0.000094,0.214333,0.031195,-0.002664,-0.511640,0.487429,-0.004038,0.031215,0.214326
9.689960,5.694317,8.830160,-0.207915,-1.855808,0.008455,-0.000086,0.157499,0.009777,-0.000951,-0.510873,0.488188,-0.002283,0.009763,0.157494
9.789856,5.666869,8.734113,-0.208781,-1.843707,0.008604,-0.000102,0.084763,-0.006801,0.000648,-0.505988,0.494198,-0.000082,-0.006810,0.084759
9.889753,5.640229,8.637837,-0.209587,-1.839073,0.007355,-0.000019,0.008009,-0.018210,0.000998,-0.507034,0.492348,0.000939,-0.018210,0.008008
9.989649,5.613650,8.541544,-0.210220,-1.842584,0.005213,0.000057,-0.078293,-0.024672,0.000525,-0.511509,0.488050,0.000934,-0.024677,-0.078291
10.089546,5.586283,8.445470,-0.210615,-1.855808,0.002644,0.000094,-0.186453,-0.026749,0.000224,-0.513665,0.486510,0.000717,-0.026767,-0.186450
10.189442,5.557091,8.349937,-0.210748,-1.881141,0.000045,0.000114,-0.320740,-0.025287,0.000168,-0.513150,0.486130,0.000183,-0.025323,-0.320737
10.289339,5.524831,8.255400,-0.210633,-1.920642,-0.002277,0.000116,-0.470090,-0.021194,-0.000133,-0.506954,0.492689,-0.001203,-0.021248,-0.470087
10.389235,5.488181,8.162483,-0.210309,-1.974737,-0.004109,0.000081,-0.612947,-0.015484,-0.000554,-0.503751,0.496333,-0.003072,-0.015534,-0.612941
10.489132,5.445944,8.071978,-0.209832,-2.042219,-0.005341,0.000038,-0.738087,-0.009200,-0.000304,-0.503482,0.496508,-0.004247,-0.009229,-0.738076
10.589028,5.397193,7.984816,-0.209263,-2.120987,-0.005951,0.000025,-0.838899,-0.002998,0.000028,-0.501114,0.498763,-0.004964,-0.003019,-0.838884
10.688925,5.341359,7.902020,-0.208663,-2.208437,-0.005958,0.000015,-0.911925,0.002844,-0.000222,-0.500700,0.498854,-0.005656,0.002831,-0.911908
10.788821,5.278259,7.824624,-0.208090,-2.301948,-0.005422,-0.000012,-0.960226,0.007902,-0.000309,-0.502226,0.497610,-0.005515,0.007913,-0.960212
10.888718,5.208063,7.753604,-0.207594,-2.399214,-0.004450,-0.000026,-0.987102,0.011549,0.000018,-0.500982,0.498536,-0.004375,0.011574,-0.987092
10.988614,5.131236,7.689819,-0.207210,-2.498296,-0.003206,-0.000040,-0.996599,0.013355,-0.000302,-0.502138,0.497388,-0.003498,0.013396,-0.996594
11.088511,5.048460,7.633969,-0.206956,-2.597769,-0.001890,-0.000106,-0.994919,0.013004,-0.001022,-0.502104,0.496860,-0.002902,0.013110,-0.994916
11.188407,4.960552,7.586606,-0.206827,-2.696968,-0.000734,-0.000222,-0.991121,0.010127,-0.001281,-0.506320,0.493816,-0.002009,0.010347,-0.991118
11.288304,4.868393,7.548163,-0.206796,-2.795755,0.000008,-0.000318,-0.986662,0.004741,-0.000644,-0.501314,0.498534,-0.000636,0.005054,-0.986660
11.388200,4.772900,7.518966,-0.206808,-2.893816,0.000121,-0.000326,-0.976592,-0.002491,0.000487,-0.501426,0.497223,0.000604,-0.002174,-0.976593
11.488097,4.675017,7.499210,-0.206795,-2.990903,-0.000512,-0.000260,-0.967168,-0.010175,0.000835,-0.506104,0.493672,0.000339,-0.009924,-0.967170
11.587993,4.575682,7.489002,-0.206682,-3.087440,-0.001859,-0.000180,-0.965568,-0.016785,0.000758,-0.504670,0.495253,-0.001037,-0.016611,-0.965569
11.687890,4.475827,7.488417,-0.206405,-3.184115,-0.003760,-0.000086,-0.969931,-0.021272,0.001128,-0.503231,0.496129,-0.002518,-0.021189,-0.969926
11.787786,4.376386,7.497506,-0.205921,-3.281542,-0.005965,0.000021,-0.980638,-0.022886,0.001008,-0.505914,0.494016,-0.004841,-0.022906,-0.980620
11.887683,4.278314,7.516285,-0.205213,-3.380274,-0.008173,0.000048,-0.996047,-0.021323,-0.000473,-0.502648,0.497377,-0.008614,-0.021371,-0.996012
11.987579,4.182591,7.544696,-0.204297,-3.480064,-0.010098,-0.000066,-1.001817,-0.017212,-0.001807,-0.498055,0.501685,-0.011923,-0.017146,-1.001767
12.087476,4.090174,7.582501,-0.203212,-3.579498,-0.011542,-0.000213,-0.988929,-0.011696,-0.001135,-0.498994,0.499693,-0.012549,-0.011485,-0.988865
12.187372,4.001928,7.629218,-0.202011,-3.677046,-0.012401,-0.000250,-0.964051,-0.005507,0.000395,-0.502464,0.496610,-0.011560,-0.005266,-0.963978
12.287269,3.918581,7.684204,-0.200756,-3.772080,-0.012617,-0.000160,-0.938586,0.001193,0.001402,-0.504622,0.495297,-0.010440,0.001344,-0.938511
12.387165,3.840749,7.746758,-0.199513,-3.864722,-0.012132,-0.000016,-0.916171,0.008503,0.001480,-0.503081,0.497000,-0.009635,0.008518,-0.916103
12.487062,3.768953,7.816159,-0.198357,-3.954890,-0.010876,0.000085,-0.889065,0.016654,0.000545,-0.498612,0.501108,-0.009125,0.016579,-0.889014
12.586958,3.703579,7.891645,-0.197369,-4.041769,-0.008775,0.000095,-0.850324,0.025415,-0.000331,-0.499510,0.499367,-0.007792,0.025334,-0.850294
12.686855,3.644836,7.972406,-0.196633,-4.124593,-0.005826,0.000033,-0.807862,0.033620,-0.000925,-0.503418,0.496429,-0.005631,0.033594,-0.807849
12.786751,3.592798,8.057648,-0.196228,-4.203370,-0.002167,-0.000080,-0.769314,0.039634,-0.001338,-0.502318,0.497616,-0.003005,0.039696,-0.769309
