s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
23.777278,7.323790,2.651584,0.022447,3.401275,-0.059175,-0.001768,-0.095270,-0.225118,-0.005308,-0.513715,0.523442,-0.010942,-0.224949,-0.095501
23.977088,7.130872,2.602235,0.038684,3.383021,-0.103239,-0.002412,-0.087442,-0.215941,-0.001136,-0.505479,0.512806,-0.010147,-0.215731,-0.087497
24.176897,6.937926,2.556468,0.063083,3.366142,-0.139220,-0.002269,-0.081506,-0.144214,0.002562,-0.501796,0.507324,-0.008748,-0.144031,-0.081045
24.376706,6.745003,2.513997,0.093060,3.350694,-0.158958,-0.002034,-0.073120,-0.053349,-0.000207,-0.506118,0.504719,-0.011781,-0.053202,-0.072306
24.576515,6.551824,2.474415,0.125281,3.336994,-0.162648,-0.001961,-0.064013,0.016413,0.000940,-0.511379,0.504468,-0.009426,0.016537,-0.063136
24.776324,6.358079,2.437353,0.157099,3.324216,-0.156119,-0.001597,-0.063895,0.048933,0.002705,-0.515664,0.506948,-0.007229,0.049034,-0.063039
24.976133,6.163611,2.402768,0.187243,3.310743,-0.146970,-0.000898,-0.070956,0.042653,0.004285,-0.515377,0.511387,-0.006106,0.042717,-0.070153
25.175942,5.968459,2.370891,0.215920,3.296130,-0.142377,-0.000111,-0.075321,0.003317,0.003600,-0.516499,0.510846,-0.007088,0.003325,-0.074559
25.375751,5.772850,2.341919,0.244566,3.281169,-0.147179,-0.000257,-0.074431,-0.051382,-0.005069,-0.501414,0.501587,-0.015984,-0.051363,-0.073639
25.575560,5.577145,2.315698,0.275138,3.269444,-0.161330,-0.001355,-0.042934,-0.090267,-0.005920,-0.479708,0.488299,-0.012817,-0.090210,-0.042498
25.775369,5.381787,2.290992,0.309014,3.267575,-0.179425,-0.000892,0.024232,-0.090848,0.010553,-0.448891,0.466529,0.014878,-0.090870,0.023762
25.975178,5.187141,2.265498,0.346235,3.277913,-0.194210,0.002540,0.079242,-0.057152,0.023801,-0.478624,0.478818,0.039094,-0.056954,0.077898
26.174987,4.993253,2.237586,0.385624,3.289976,-0.201170,0.005296,0.041503,-0.012509,0.003783,-0.486429,0.496950,0.012076,-0.012294,0.040732
26.374796,4.799652,2.208301,0.425432,3.291048,-0.198130,0.005591,-0.030769,0.042935,-0.000830,-0.486090,0.493267,-0.006886,0.042766,-0.030406
26.574605,4.605528,2.180034,0.463364,3.279560,-0.181045,0.005209,-0.084228,0.128082,-0.002992,-0.472116,0.483366,-0.018158,0.127648,-0.083517
