,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
62,12.382788,4.746823,0.189228,-0.324478,-3.909032,-7.624430,3.320407,-6.802926,15.510823
63,12.582510,4.567998,0.114965,-0.372468,-3.754063,-7.941934,4.021944,-5.924096,15.510823
64,12.782233,4.388498,0.030451,-0.415274,-3.556558,-8.232848,4.724032,-5.065144,15.510823
65,12.981955,4.213766,-0.061131,-0.446757,-3.316359,-8.490391,5.494680,-4.253367,15.510823
66,13.181677,4.051524,-0.153939,-0.460518,-3.035670,-8.707669,6.404967,-3.468325,15.510823
67,13.381400,3.909480,-0.240821,-0.451615,-2.719506,-8.878873,7.482129,-2.638829,15.510823
68,13.581122,3.792203,-0.315894,-0.418774,-2.375026,-9.000366,8.654650,-1.669517,15.510823
69,13.780845,3.699751,-0.376512,-0.365426,-2.010095,-9.070763,9.389739,-1.269982,15.510823
70,13.980567,3.629092,-0.422739,-0.296834,-1.647284,-9.119834,9.891530,-0.958348,15.510823
71,14.180289,3.576204,-0.455922,-0.219144,-1.291220,-9.154331,9.938784,-0.787188,15.510823
72,14.380012,3.537272,-0.478108,-0.142246,-0.945190,-9.181738,9.659787,-0.313676,15.510823
73,14.579734,3.510080,-0.491355,-0.074972,-0.606670,-9.192731,9.162845,-0.136534,15.510823
74,14.779456,3.494203,-0.497156,-0.019433,-0.277633,-9.197634,8.723104,-0.077432,15.510823
75,14.979179,3.489900,-0.496657,0.025198,0.044890,-9.200497,8.494958,0.479759,15.510823
76,15.178901,3.497692,-0.490815,0.062312,0.366594,-9.182328,8.699475,0.391419,15.510823
77,15.378624,3.517831,-0.480035,0.101650,0.696269,-9.167495,9.157755,0.630609,15.510823
78,15.578346,3.549903,-0.463563,0.153725,1.035475,-9.144137,9.753041,0.661602,15.510823
79,15.778068,3.593696,-0.439610,0.222614,1.387965,-9.120226,10.146075,0.639683,15.510823
80,15.977791,3.650555,-0.405545,0.304616,1.755061,-9.097081,9.827636,1.080723,15.510823
81,16.177513,3.724246,-0.357858,0.389330,2.128062,-9.056063,8.921656,1.604137,15.510823
82,16.377236,3.820892,-0.292480,0.462070,2.500625,-8.989075,7.800712,2.076008,15.510823
83,16.576958,3.946921,-0.207000,0.507122,2.866943,-8.891587,6.750630,2.671860,15.510823
84,16.776680,4.103530,-0.105030,0.515164,3.214622,-8.753978,5.896636,3.477377,15.510823
85,16.976403,4.282793,0.002673,0.488551,3.528157,-8.569079,5.363256,4.315440,15.510823
86,17.176125,4.472363,0.104128,0.438743,3.805431,-8.345976,4.875504,5.268896,15.510823
87,17.375847,4.663235,0.192527,0.378992,4.042587,-8.089685,4.353131,6.213402,15.510823
88,17.575570,4.851543,0.266401,0.318433,4.240515,-7.807174,3.755175,7.090347,15.510823
89,17.775292,5.036180,0.326717,0.261359,4.400983,-7.504184,3.084869,7.867754,15.510823
90,17.975015,5.217089,0.375112,0.209843,4.526015,-7.185299,2.359190,8.527392,15.510823
91,18.174737,5.394601,0.413394,0.165215,4.617616,-6.854202,1.604252,9.082995,15.510823
92,18.374459,5.568720,0.443234,0.127540,4.677718,-6.513919,0.841741,9.570128,15.510823
93,18.574182,5.738841,0.465967,0.095559,4.708231,-6.167000,0.082711,10.033129,15.510823
94,18.773904,5.903773,0.482474,0.066809,4.711127,-5.815642,-0.671567,10.476750,15.510823
95,18.973627,6.062536,0.493182,0.039287,4.688441,-5.461727,-1.415049,10.848298,15.510823
96,19.173349,6.215143,0.498416,0.013173,4.642154,-5.106868,-2.138452,11.137805,15.510823
97,19.373071,6.361769,0.498601,-0.011032,4.574110,-4.752474,-2.847314,11.407139,15.510823
98,19.572794,6.501833,0.494059,-0.034868,4.486075,-4.399782,-3.545906,11.673514,15.510823
99,19.772516,6.634717,0.484727,-0.060381,4.379782,-4.049851,-4.205110,11.850393,15.510823
100,19.972238,6.760955,0.470335,-0.086616,4.256852,-3.703425,-4.793295,11.898213,15.510823
101,20.171961,6.881651,0.450931,-0.110386,4.118706,-3.360509,-5.330486,11.898774,15.510823
102,20.371683,6.997021,0.427074,-0.130609,3.966583,-3.020939,-5.852595,11.938268,15.510823
103,20.571406,7.106466,0.399363,-0.149162,3.801671,-2.684547,-6.370666,12.032579,15.510823
104,20.771128,7.209357,0.367989,-0.169046,3.625153,-2.351149,-6.848972,12.109414,15.510823
105,20.970850,7.305776,0.332535,-0.190901,3.438168,-2.020548,-7.227930,12.069360,15.510823
106,21.170573,7.396535,0.292620,-0.210448,3.241758,-1.692578,-7.517889,11.942437,15.510823
107,21.370295,7.482094,0.248923,-0.222299,3.036865,-1.367098,-7.783333,11.837520,15.510823
