v_x,v_y,omega,delta
6.478162345858099,-0.18087313986002768,0.4532504532390218,-0.0290719651449819,-0.8581542944339079
6.420707440149449,-0.18279227627641903,0.4780214692311888,-0.02504062948988326,-1.3144532843851646
6.363257324785626,-0.18512463903323648,0.5028779673706721,-0.020506695843758395,-1.7585163048253305
6.304931776491453,-0.18842850411574003,0.5279000381671678,-0.01568420910919313,-2.177355113450616
6.244784195849429,-0.19317431397057058,0.5531517824455784,-0.010790811143591924,-2.5594840242413883
6.181875421374429,-0.11059414008009208,0.578659321453995,0.04338454698999497,-2.8955488808239527
6.1153562324175175,-0.11515603325054637,0.6043996057360369,0.047191992011471125,-3.1788054983636758
6.044548121839589,-0.12175330698078199,0.6303010912047273,0.05130173705256293,-3.4054612253052237
5.969010015765212,-0.13035175285587686,0.656248267360619,0.055702533450831496,-3.5748150044324505
5.888581372706895,-0.14083160445282716,0.6820769692945341,0.060369270674183385,-3.689086937074909
5.803396633238679,-0.15302100808087227,0.7075559879728519,0.06525355897730974,-3.7529288816817425
5.713870109494521,-0.16673037734111418,0.7323606885129788,0.07027403254516423,-3.772740148790597
5.620653219264906,-0.18178249514317396,0.7560485373676903,0.07530755527565072,-3.755961329244132
5.52456817486098,-0.19803408057290814,0.7780499167401262,0.08018266533122752,-3.710516807041757
5.42652538960704,-0.21538682853912555,0.7976877888349256,0.08467747109712195,-3.644494460279593
5.327435595931908,-0.23378988775294235,0.8142294302298831,0.0885253419401224,-3.5659916386883963
5.228129737606846,-0.2532382236887374,0.8269597967498084,0.09143208189854803,-3.48294850969491
5.129299307553137,-0.2737695536041759,0.8352616471145352,0.0931076803240475,-3.4027732732330045
5.031467432813058,-0.2954587223401026,0.8386897999891165,0.09331372475733203,-3.3316729936991165
4.934995734689057,-0.31840683782036006,0.8370247294912163,0.09191884504624674,-3.2738979037463216
4.84012335834959,-0.3427236267147278,0.8302881177986079,0.08893930813213026,-3.231335989873549
4.7470258108927466,-0.3685028963916198,0.8187128868514744,0.08453990967287012,-3.2037104051418153
4.655876313793224,-0.3957925266778428,0.8026780247005485,0.07899420076057481,-3.1892030058486482
4.566892415489176,-0.42456297030859824,0.7826277568914386,0.07262815895007306,-3.1851394370975243
4.480356012812171,-0.45468040190784603,0.7589922446704417,0.06577142185017572,-3.188505881171321
4.396604778163412,-0.48588995599825524,0.7321246221934641,0.05872526165539206,-3.1962499153277375
4.316001914480125,-0.5178112687630678,0.7022717181325635,0.051746635450412,-3.2054403726344485
4.238894250081515,-0.5499463085307368,0.6695938307851564,0.04504509113692881,-3.213425488280488
4.165567940436983,-0.581699999266124,0.6342340973605028,0.03878865570658087,-3.21805170330155
4.096210680230293,-0.6124139818585786,0.5964170180556649,0.03311436827827157,-3.2178507937394047
4.030888589414242,-0.6414094082637358,0.5565448634863918,0.028139261660856736,-3.2120860640004127
3.9695422506407905,-0.6680296438524257,0.5152648529036633,0.023968509050841073,-3.200663889991929
3.912001270701791,-0.6916751635976283,0.4734910254069281,0.020699025383344755,-3.1839606243727596
3.85801334571061,-0.7118292419150369,0.43237890969370063,0.018418541112066717,-3.1625804320031285
3.8072820688626363,-0.7280750460472373,0.3932658385774207,0.01720120089454368,-3.1370983523370066
3.7595062115336133,-0.7401002269248852,0.35759666195876827,0.017101480201772063,-3.10789443247334
3.714412793066052,-0.7476837046147838,0.3268501245750714,0.018149245944922832,-3.0750991195432893
3.671778434318626,-0.7506670476332991,0.30247102575549456,0.02034853134615018,-3.0385609851195747
3.6314370872027792,-0.7489217317972149,0.2858054790014799,0.023680320635676492,-2.9978029375749333
3.59327483127785,-0.7423248097282205,0.27803479907662493,0.02810746277664769,-2.952058882730448
3.557213893532349,-0.7307505837565873,0.28010632005563463,0.03357925341131477,-2.900463380850508
3.523189534722271,-0.7140798922335595,0.29266551209776887,0.04003421081875297,-2.8423267271536963
3.4911245164122318,-0.6922241538311412,0.3159998513425027,0.047401486706488756,-2.777372125010202
3.460905461912916,-0.6651594469449754,0.35000349796351493,0.055602660484131705,-2.7058960568358996
3.432363951878763,-0.6329661390496766,0.39416424017562984,0.0645554004304291,-2.628900035544094
3.405263934662211,-0.5958698934794427,0.4475716076593868,0.07417890891582342,-2.548210347951729
3.3792966479453104,-0.5542792889454923,0.5089499796549882,0.08439948738443864,-2.4664956337875523
3.3540843875745447,-0.5088145790270795,0.5767221601918953,0.0951545348108734,-2.3870633472605793
3.3291943578768564,-0.4603217235297522,0.6491009122532028,0.10639414858905977,-2.3134210561628463
3.304162708155967,-0.4098652324485302,0.724197793061867,0.11807993189825834,-2.2487324394552943
3.278526453838815,-0.35869380900524034,0.800138420141385,0.1301813691412892,-2.1953582757377483
3.2518586115106713,-0.3081773609055677,0.8751730915904037,0.14267119982129428,-2.154594500131179
3.2238012797876556,-0.259721456017732,0.9477667229023821,0.155521250515309,-2.126583858021844
3.194092535718917,-0.21466863331336117,1.0166520200689144,0.16869917502175674,-2.11033191165413
3.1625844430927197,-0.17419435063404168,1.0808398952524345,0.18216530834309086,-2.103819324985141
3.129250338825886,-0.13920869333815467,1.1395929543630765,0.19586798478658277,-2.1042430621102866
3.0941808616931312,-0.11028395337672603,1.1923745322530703,0.20973625936828416,-2.1083470304849543
3.05757065931372,-0.08762751699185761,1.2387902719341672,0.223671720163746,-2.1127116372182155
3.0196991760823226,-0.07110390084375015,1.2785421664837264,0.23754443476525705,-2.1139382767865387
2.980907785592138,-0.06029330790667772,1.3114117078317185,0.2511976696042074,-2.108825359874852
