v_x,v_y,omega,delta
5.2780481265822115,-0.4189828406460301,0.6173247842836818,0.18282765453662364
5.285130970638288,-0.4127741153403359,0.6149123424308848,0.19817081127444042
5.291668668610655,-0.4066375226221181,0.6131223861212275,0.21283513142801497
5.2972870495992925,-0.40073866749130044,0.6124172296724562,0.2267664009350331
5.301703463902808,-0.395264359638433,0.6131753266127764,0.2399068448360622
5.304754624979079,-0.29560314584623815,0.6156670122663693,0.0792720617534541
5.306410640787779,-0.290907393521894,0.6200314341013711,0.07903324666138654
5.3067759101693674,-0.28692466023517205,0.6262555962690208,0.07880533447269968
5.306077919824784,-0.2838113860220501,0.6341627304749509,0.07859434856426874
5.304644850341445,-0.2816905194991885,0.6434150991782864,0.07840673570604202
5.302873691232822,-0.2806466329165682,0.653531611642286,0.07824849680927227
5.3011923723062955,-0.2807280602681182,0.6639171517600729,0.0781233501335417
5.300020775206096,-0.28195072693317424,0.6739049959421783,0.07803088945506666
5.299734545207745,-0.2842976167688367,0.6828205183431328,0.0779658065901003
5.300632442033261,-0.28771193459640576,0.6900648100905583,0.07791876833693946
5.302905097178356,-0.2920867717425741,0.6951996035511738,0.07787896013174557
5.306603506877914,-0.29725514138960435,0.6980133431873425,0.07783792403456
5.311609820977618,-0.3029841633627333,0.6985554015445308,0.07779393326901118
5.31761761670189,-0.30897828265357474,0.6971283941586561,0.07775586315378023
5.32412997043714,-0.314895835313715,0.6942363605271654,0.07774543305629028
5.330480686260363,-0.3203797093099886,0.6905014557269821,0.07779659807356894
5.335879078567915,-0.3250983853103805,0.6865714347113312,0.0779512940722577
5.339473726713722,-0.3287897088071239,0.6830405323564724,0.07825228784916835
5.340426814257074,-0.3312980092957325,0.6803977788478263,0.07873541592114787
5.337988951606826,-0.332596934489251,0.6790025420151835,0.07942354865105859
5.331565129705826,-0.332793447172976,0.6790813746840333,0.08032361688681186
5.320765007686205,-0.33211121699158974,0.6807443360236412,0.08142699299991821
5.3054336907246,-0.33085545150725376,0.6840158103898959,0.08271244759840432
5.285661152215231,-0.3293654892373017,0.688865570400664,0.08414999576038326
5.261769557974677,-0.3279644100420348,0.6952255204324415,0.08570414266097517
5.234279727867009,-0.32691708318356594,0.7029842155764483,0.08733635813266444
5.203861713570418,-0.32640804128706014,0.7119592386158763,0.08900756582215595
5.171277932907868,-0.32654416659860136,0.7218616070455257,0.09068098792537181
5.137327483765323,-0.32737646373844986,0.7322786334371445,0.09232466861468683
5.102796749207545,-0.3289277192448058,0.7426951745828656,0.09391275628919497
5.068417347233254,-0.3312118014984066,0.7525528916700165,0.09542523876935856
5.03483146075131,-0.3342348460644547,0.7613299734667989,0.09684673351517564
5.002566310956724,-0.3379772911160708,0.7686160189197422,0.09816575820018757
4.972020256930423,-0.3423647821674452,0.7741594731761005,0.09937582622359278
4.943460943966953,-0.34724034789193453,0.7778784627236017,0.10047841719367236
4.917033315570657,-0.3523487859194752,0.7798441247406229,0.10148657290978981
4.8927739581389,-0.35733969980756863,0.7802563099956773,0.10242740575999922
4.870627853087436,-0.36179071387581674,0.7794272583158032,0.103341882887908
4.8504644068214855,-0.3652474080286653,0.777775742697502,0.10428091989480971
4.832091539590508,-0.3672722829514872,0.7758229412864225,0.10529833991424159
4.8152678355477665,-0.36749359718693836,0.7741768302957501,0.10644286312775421
4.799712523260356,-0.36564603677033863,0.7734954406045167,0.1077516083495392
4.785113020560566,-0.3615978300639332,0.77442803937091,0.10924639470742363
4.771131199312088,-0.3553635558757663,0.7775408118913208,0.11093291516611577
4.757410986681044,-0.34710621625865967,0.7832386413932093,0.11280258321144986
4.743589556592726,-0.3371317802322089,0.7916993254271473,0.11483650042580346
4.729312787265589,-0.3258753217513509,0.8028367346635391,0.11700983794434414
4.7142543633414045,-0.31387529898822203,0.8163001703497315,0.11929439703736439
4.6981371168082635,-0.3017340479600281,0.8315056898636615,0.12165843294865684
4.68075431043671,-0.2900665496028898,0.8476930471626206,0.12406474129381646
4.661987105250229,-0.27944335287086086,0.8640053315519552,0.12646864730892024
4.641813704814921,-0.2703364423233036,0.8795821862023753,0.1288168004006585
4.620307605781785,-0.2630780528286798,0.8936444701870642,0.13104685455320123
4.59762567849433,-0.25783960036037645,0.9055501047160931,0.13308844397797798
4.5739885468758255,-0.25463148674518554,0.9148197130555854,0.13486694895373816
4.5496564349239526,-0.2533194064337921,0.921142557426377,0.13631125816375256
4.5249047624052565,-0.25365188428759156,0.9243699479729707,0.13736427681812874
4.500003707208388,-0.25529492280915134,0.9245012087220832,0.13799268309889345
4.475203578947671,-0.25786999541839506,0.9216704744386933,0.13819278628099602
4.450725406906731,-0.26099111809292175,0.9161396826599081,0.13799156512553246
4.426755445317119,-0.26429681714931347,0.9082958919667582,0.13744377879860076
4.403442575404452,-0.2674741147398403,0.898648560661272,0.1366264128766343
4.380898111682311,-0.2702731777978856,0.8878219626064436,0.13563120735391737
4.3591982586398546,-0.27251215356885067,0.8765345634094035,0.1345554279511534
4.338389565972753,-0.2740725732190883,0.8655565285180257,0.13349078234775458
4.3184968387920915,-0.27488731712522074,0.8556460072792013,0.1325110138290688
4.299532256123573,-0.2749252211424418,0.8474783573433601,0.1316603413352802
4.281504364019843,-0.27417775140826495,0.84158602762054,0.13094592050239218
4.264425287957878,-0.2726523816971174,0.838319278983588,0.13033651529365728
4.248314161310326,-0.2703743500881918,0.8378286914555529,0.12976757124564645
4.233195606384112,-0.2673951133294852,0.8400620775192128,0.1291509881118477
4.219093964299897,-0.2638036650084903,0.8447620457635064,0.1283864242338703
