right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
4.666200,-3.936835,0.139464,6.067187,-5.128404,0.139464,5.234671,-4.436862,0.139464
4.623500,-3.972059,0.139256,5.670390,-5.460309,0.139256,5.117011,-4.658667,0.139256
4.574240,-3.998495,0.139058,5.265438,-5.678344,0.139058,4.929911,-4.825156,0.139058
4.508006,-4.018753,0.139078,4.905356,-5.799853,0.139078,4.690699,-4.900465,0.139078
4.371752,-4.030664,0.139016,4.602331,-5.863520,0.139016,4.442780,-4.937199,0.139016
4.170543,-4.037011,0.139017,4.308439,-5.902563,0.139017,4.195039,-4.899515,0.139017
3.924220,-4.042925,0.138990,4.012521,-5.926112,0.138990,3.947567,-4.859755,0.138990
3.677444,-4.048992,0.139824,3.718657,-5.938223,0.139824,3.697487,-4.847751,0.139824
3.424911,-4.054869,0.139391,3.456963,-5.941588,0.139391,3.446330,-4.850765,0.139391
3.175462,-4.060810,0.139761,3.182269,-5.939369,0.139761,3.195776,-4.846866,0.139761
2.926427,-4.066545,0.139793,2.917149,-5.932003,0.139793,2.944145,-4.843493,0.139793
2.679861,-4.071836,0.139470,2.645025,-5.923082,0.139470,2.692855,-4.838632,0.139470
2.422992,-4.076953,0.139028,2.398151,-5.912465,0.139028,2.441619,-4.833703,0.139028
2.165910,-4.082381,0.138987,2.133347,-5.900215,0.138987,2.182012,-4.829052,0.138987
1.915768,-4.087735,0.139006,1.871198,-5.885562,0.139006,1.931307,-4.824208,0.139006
1.662709,-4.093114,0.139753,1.607821,-5.872147,0.139753,1.680371,-4.818176,0.139753
1.408841,-4.098923,0.140012,1.384978,-5.861024,0.140012,1.428740,-4.811880,0.140012
1.158283,-4.104047,0.139908,1.145032,-5.852346,0.139908,1.177164,-4.806654,0.139908
0.904922,-4.109846,0.139589,0.919369,-5.845918,0.139589,0.920447,-4.802107,0.139589
0.651881,-4.115325,0.139565,0.695382,-5.845068,0.139565,0.669320,-4.801403,0.139565
0.402499,-4.121381,0.139086,0.471216,-5.851754,0.139086,0.418710,-4.797279,0.139086
0.155232,-4.126926,0.138987,0.266188,-5.861515,0.138987,0.167717,-4.792927,0.138987
-0.091819,-4.132518,0.138997,0.006000,-5.880659,0.138997,-0.082421,-4.788974,0.138997
-0.348405,-4.138616,0.139028,-0.255702,-5.900406,0.139028,-0.333726,-4.785050,0.139028
-0.607629,-4.144700,0.138993,-0.550332,-5.920160,0.138993,-0.584161,-4.781324,0.138993
-0.860841,-4.151018,0.139009,-0.793452,-5.929030,0.139009,-0.844980,-4.777208,0.139009
-1.120704,-4.157370,0.139023,-1.061824,-5.937697,0.139023,-1.096434,-4.772378,0.139023
-1.367547,-4.163963,0.139003,-1.295543,-5.946697,0.139003,-1.346878,-4.765827,0.139003
-1.620961,-4.170254,0.139007,-1.541736,-5.959999,0.139007,-1.597408,-4.758784,0.139007
-1.864273,-4.177062,0.138999,-1.767120,-5.972376,0.138999,-1.847726,-4.750570,0.138999
-2.117161,-4.183393,0.139022,-2.034712,-5.985796,0.139022,-2.098846,-4.742174,0.139022
-2.364011,-4.189609,0.138989,-2.306605,-5.997493,0.138989,-2.350802,-4.756405,0.138989
-2.617874,-4.195724,0.139030,-2.548821,-6.007587,0.139030,-2.599081,-4.796748,0.139030
-2.865138,-4.201718,0.139060,-2.807165,-6.016899,0.139060,-2.848389,-4.824241,0.139060
-3.118187,-4.208301,0.138986,-3.051775,-6.027133,0.138986,-3.098050,-4.851154,0.138986
-3.368230,-4.214697,0.139025,-3.313582,-6.037251,0.139025,-3.347035,-4.877241,0.139025
-3.614960,-4.221120,0.139009,-3.541603,-6.048924,0.139009,-3.596188,-4.903734,0.139009
-3.861695,-4.227364,0.139011,-3.798890,-6.058657,0.139011,-3.844844,-4.929742,0.139011
-4.108683,-4.235485,0.138992,-4.042665,-6.070637,0.138992,-4.093810,-4.955221,0.138992
-4.361910,-4.242455,0.139002,-4.297363,-6.079322,0.139002,-4.343503,-4.981026,0.139002
-4.614834,-4.249441,0.139023,-4.543832,-6.091300,0.139023,-4.592793,-5.005992,0.139023
-4.864531,-4.254117,0.138990,-4.793560,-6.099303,0.138990,-4.842151,-5.030348,0.138990
-5.112680,-4.260229,0.139008,-5.053291,-6.110344,0.139008,-5.091142,-5.054333,0.139008
-5.359784,-4.266649,0.138992,-5.306425,-6.117810,0.138992,-5.341391,-5.077259,0.138992
-5.602932,-4.272462,0.138996,-5.570485,-6.128023,0.138996,-5.591402,-5.100083,0.138996
-5.868071,-4.278879,0.139499,-5.802113,-6.137578,0.139499,-5.841813,-5.123046,0.139499
-6.142080,-4.290425,0.139658,-6.015300,-6.150968,0.139658,-6.093219,-5.146585,0.139658
-6.434937,-4.313159,0.139129,-6.227926,-6.170596,0.139129,-6.343486,-5.168186,0.139129
-6.716439,-4.346856,0.139634,-6.453879,-6.194714,0.139634,-6.594964,-5.189424,0.139634
-6.995570,-4.391202,0.139527,-6.675229,-6.229405,0.139527,-6.845038,-5.209952,0.139527
-7.263095,-4.443265,0.139272,-6.879540,-6.266712,0.139272,-7.095163,-5.228585,0.139272
-7.528565,-4.504306,0.139476,-7.080776,-6.316961,0.139476,-7.344532,-5.246646,0.139476
-7.781959,-4.570906,0.139577,-7.284257,-6.367847,0.139577,-7.594061,-5.266921,0.139577
-8.041900,-4.647974,0.139172,-7.484498,-6.428902,0.139172,-7.838619,-5.323923,0.139172
-8.280835,-4.727435,0.139319,-7.669484,-6.486030,0.139319,-8.048889,-5.460400,0.139319
-8.521385,-4.816925,0.139089,-7.852106,-6.553520,0.139089,-8.189510,-5.668446,0.139089
-8.735559,-4.903200,0.138994,-8.008263,-6.617025,0.138994,-8.304931,-5.890345,0.138994
-8.986728,-5.021212,0.138989,-8.176131,-6.694389,0.138989,-8.444636,-6.099241,0.138989
-9.237846,-5.154852,0.138992,-8.335339,-6.775143,0.138992,-8.585075,-6.307408,0.138992
-9.506293,-5.318797,0.138990,-8.506520,-6.877805,0.138990,-8.725218,-6.515266,0.138990
-9.804730,-5.544796,0.139020,-8.661788,-6.992228,0.139020,-8.866055,-6.722657,0.139020
-10.140093,-5.870509,0.139037,-8.803404,-7.121284,0.139037,-9.011317,-6.926407,0.139037
-10.483358,-6.344439,0.139237,-8.915280,-7.259643,0.139237,-9.171158,-7.118916,0.139237
-10.721006,-6.880113,0.138997,-8.984725,-7.392022,0.138997,-9.324147,-7.316867,0.138997
-10.840556,-7.396084,0.139003,-9.013650,-7.524999,0.139003,-9.477406,-7.515234,0.139003
-10.842584,-7.837726,0.138994,-9.007326,-7.661396,0.138994,-9.606825,-7.730779,0.138994
-10.793180,-8.184409,0.139007,-8.981317,-7.799688,0.139007,-9.702143,-7.962878,0.139007
-10.700645,-8.511570,0.139010,-8.940332,-7.934763,0.139010,-9.767077,-8.205465,0.139010
