s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
31.735555,-9.776188,-6.925972,0.139103,-2.008672,0.000130,-0.000000,0.640526,0.000478,-0.000012,-0.888440,0.924917,-0.000095,0.000478,0.640526
31.785533,-9.796649,-6.971566,0.139096,-1.976520,0.000151,-0.000001,0.646153,0.000385,-0.000012,-0.888640,0.923975,-0.000110,0.000385,0.646153
31.835510,-9.815627,-7.017797,0.139088,-1.944122,0.000168,-0.000001,0.650346,0.000284,-0.000010,-0.890561,0.921276,-0.000119,0.000283,0.650346
31.885487,-9.833094,-7.064620,0.139079,-1.911550,0.000180,-0.000002,0.653121,0.000178,-0.000007,-0.893806,0.917403,-0.000124,0.000177,0.653121
31.935464,-9.849024,-7.111989,0.139070,-1.878875,0.000186,-0.000002,0.654471,0.000074,-0.000003,-0.899846,0.910184,-0.000125,0.000073,0.654471
31.985442,-9.863397,-7.159852,0.139061,-1.846169,0.000187,-0.000002,0.654363,-0.000024,-0.000001,-0.901202,0.910643,-0.000123,-0.000025,0.654363
32.035419,-9.876198,-7.208160,0.139052,-1.813506,0.000184,-0.000002,0.652746,-0.000113,0.000001,-0.900601,0.914763,-0.000119,-0.000114,0.652746
32.085396,-9.887418,-7.256859,0.139043,-1.780965,0.000176,-0.000002,0.649518,-0.000191,0.000003,-0.902494,0.915979,-0.000112,-0.000192,0.649518
32.135373,-9.897051,-7.305897,0.139034,-1.748628,0.000165,-0.000002,0.644527,-0.000255,0.000004,-0.905778,0.915910,-0.000103,-0.000256,0.644527
32.185351,-9.905101,-7.355220,0.139026,-1.716589,0.000151,-0.000002,0.637617,-0.000306,0.000004,-0.910751,0.914120,-0.000092,-0.000307,0.637617
32.235328,-9.911576,-7.404773,0.139019,-1.684946,0.000135,-0.000001,0.628696,-0.000343,0.000004,-0.917210,0.910838,-0.000081,-0.000344,0.628696
32.285305,-9.916492,-7.454506,0.139013,-1.653797,0.000117,-0.000001,0.617839,-0.000367,0.000004,-0.925492,0.905743,-0.000068,-0.000368,0.617839
32.335282,-9.919871,-7.504367,0.139007,-1.623230,0.000099,-0.000001,0.605392,-0.000379,0.000004,-0.923276,0.910140,-0.000055,-0.000380,0.605392
32.385260,-9.921741,-7.554308,0.139003,-1.593315,0.000080,-0.000001,0.591758,-0.000380,0.000004,-0.922161,0.913387,-0.000043,-0.000381,0.591758
32.435237,-9.922133,-7.604282,0.138999,-1.564105,0.000061,-0.000001,0.577154,-0.000371,0.000003,-0.922637,0.915040,-0.000032,-0.000371,0.577154
32.485214,-9.921085,-7.654246,0.138997,-1.535647,0.000043,-0.000000,0.561704,-0.000353,0.000003,-0.924420,0.915371,-0.000021,-0.000353,0.561704
32.535191,-9.918634,-7.704162,0.138995,-1.507977,0.000026,-0.000000,0.545593,-0.000328,0.000002,-0.927955,0.913949,-0.000012,-0.000328,0.545593
32.585169,-9.914824,-7.753992,0.138994,-1.481118,0.000010,-0.000000,0.529237,-0.000296,0.000002,-0.931441,0.912508,-0.000003,-0.000296,0.529237
32.635146,-9.909697,-7.803704,0.138994,-1.455065,-0.000004,-0.000000,0.513373,-0.000259,0.000001,-0.929247,0.916468,0.000003,-0.000259,0.513373
32.685123,-9.903296,-7.853268,0.138995,-1.429777,-0.000016,0.000000,0.498592,-0.000218,0.000001,-0.929121,0.918371,0.000009,-0.000218,0.498592
32.735100,-9.895661,-7.902658,0.138996,-1.405197,-0.000026,0.000000,0.485059,-0.000176,0.000000,-0.929880,0.919337,0.000013,-0.000176,0.485059
32.785078,-9.886831,-7.951848,0.138997,-1.381265,-0.000033,0.000000,0.472644,-0.000132,0.000000,-0.932431,0.918632,0.000016,-0.000132,0.472644
32.835055,-9.876842,-8.000815,0.138999,-1.357933,-0.000039,0.000000,0.461067,-0.000088,0.000000,-0.933992,0.918403,0.000018,-0.000088,0.461067
32.885032,-9.865726,-8.049540,0.139001,-1.335166,-0.000042,0.000000,0.450017,-0.000045,0.000000,-0.930506,0.921753,0.000019,-0.000045,0.450017
32.935009,-9.853517,-8.098002,0.139003,-1.312947,-0.000043,0.000000,0.439180,-0.000005,0.000000,-0.929079,0.923249,0.000019,-0.000005,0.439180
32.984987,-9.840248,-8.146184,0.139005,-1.291270,-0.000043,0.000000,0.428294,0.000033,0.000000,-0.928370,0.924001,0.000018,0.000033,0.428294
33.034964,-9.825951,-8.194072,0.139007,-1.270141,-0.000040,0.000000,0.417253,0.000068,-0.000000,-0.929284,0.923014,0.000017,0.000068,0.417253
33.084941,-9.810658,-8.241651,0.139009,-1.249563,-0.000036,0.000000,0.406219,0.000099,-0.000000,-0.928964,0.923826,0.000014,0.000099,0.406219
33.134918,-9.794402,-8.288910,0.139011,-1.229527,-0.000030,0.000000,0.395574,0.000126,-0.000000,-0.926947,0.927011,0.000012,0.000126,0.395574
33.184896,-9.777215,-8.335838,0.139012,-1.210010,-0.000023,0.000000,0.385492,0.000147,-0.000000,-0.926489,0.928498,0.000009,0.000147,0.385492
33.234873,-9.759127,-8.382426,0.139013,-1.190985,-0.000016,0.000000,0.375832,0.000164,-0.000000,-0.926720,0.929307,0.000006,0.000164,0.375832
33.284850,-9.740167,-8.428666,0.139014,-1.172442,-0.000007,0.000000,0.366243,0.000175,-0.000000,-0.928399,0.928741,0.000002,0.000175,0.366243
33.334827,-9.720364,-8.474552,0.139014,-1.154387,0.000002,-0.000000,0.356261,0.000179,-0.000000,-0.928009,0.929716,-0.000001,0.000179,0.356261
33.384805,-9.699748,-8.520078,0.139014,-1.136853,0.000011,-0.000000,0.345421,0.000177,-0.000000,-0.927275,0.930808,-0.000004,0.000177,0.345421
33.434782,-9.678349,-8.565242,0.139013,-1.119892,0.000019,-0.000000,0.333361,0.000169,-0.000000,-0.927687,0.930819,-0.000007,0.000169,0.333361
33.484759,-9.656201,-8.610043,0.139012,-1.103566,0.000027,-0.000000,0.319938,0.000154,-0.000000,-0.928916,0.929958,-0.000009,0.000154,0.319938
33.534736,-9.633340,-8.654485,0.139010,-1.087941,0.000034,-0.000000,0.305359,0.000132,-0.000000,-0.930704,0.928667,-0.000011,0.000132,0.305359
33.584714,-9.609804,-8.698572,0.139008,-1.073057,0.000040,-0.000000,0.290259,0.000103,0.000000,-0.930321,0.931081,-0.000012,0.000103,0.290259
33.634691,-9.585631,-8.742314,0.139006,-1.058925,0.000045,-0.000000,0.275297,0.000067,0.000000,-0.930867,0.932463,-0.000012,0.000067,0.275297
33.684668,-9.560858,-8.785719,0.139004,-1.045528,0.000047,-0.000000,0.260837,0.000025,0.000000,-0.931980,0.933278,-0.000012,0.000025,0.260837
33.734645,-9.535521,-8.828797,0.139001,-1.032836,0.000047,-0.000000,0.247081,-0.000024,0.000000,-0.934006,0.933266,-0.000011,-0.000024,0.247081
33.784623,-9.509653,-8.871559,0.138999,-1.020809,0.000044,0.000000,0.234218,-0.000079,0.000000,-0.935660,0.933256,-0.000010,-0.000079,0.234218
33.834600,-9.483287,-8.914015,0.138997,-1.009395,0.000039,0.000000,0.222524,-0.000138,0.000000,-0.934064,0.935048,-0.000008,-0.000138,0.222524
33.884577,-9.456449,-8.956174,0.138995,-0.998533,0.000030,0.000000,0.212176,-0.000200,0.000000,-0.933514,0.935973,-0.000006,-0.000200,0.212176
33.934554,-9.429165,-8.998047,0.138994,-0.988154,0.000019,0.000000,0.203168,-0.000264,-0.000000,-0.933332,0.936493,-0.000004,-0.000264,0.203168
33.984532,-9.401458,-9.039640,0.138993,-0.978194,0.000004,0.000000,0.195411,-0.000327,-0.000000,-0.933816,0.936323,-0.000001,-0.000327,0.195411
34.034509,-9.373344,-9.080960,0.138994,-0.968592,-0.000014,-0.000000,0.188825,-0.000387,-0.000001,-0.934273,0.936328,0.000002,-0.000387,0.188825
34.084486,-9.344842,-9.122013,0.138995,-0.959291,-0.000034,-0.000000,0.183396,-0.000442,-0.000001,-0.933894,0.937555,0.000005,-0.000442,0.183396
34.134463,-9.315965,-9.162803,0.138997,-0.950233,-0.000058,-0.000000,0.179086,-0.000491,-0.000001,-0.934174,0.938065,0.000009,-0.000491,0.179086
34.184441,-9.286723,-9.203332,0.139001,-0.941365,-0.000083,-0.000000,0.175810,-0.000532,-0.000002,-0.934851,0.938197,0.000013,-0.000532,0.175810
34.234418,-9.257125,-9.243602,0.139006,-0.932637,-0.000111,-0.000000,0.173477,-0.000561,-0.000002,-0.935968,0.937877,0.000017,-0.000561,0.173477
34.284395,-9.227180,-9.283615,0.139012,-0.924003,-0.000139,-0.000000,0.172025,-0.000578,-0.000003,-0.937567,0.937104,0.000021,-0.000578,0.172025
34.334372,-9.196891,-9.323368,0.139019,-0.915420,-0.000168,-0.000001,0.171450,-0.000580,-0.000003,-0.935984,0.937673,0.000025,-0.000580,0.171450
34.384350,-9.166263,-9.362860,0.139029,-0.906844,-0.000197,-0.000001,0.171751,-0.000565,-0.000004,-0.934752,0.937855,0.000030,-0.000565,0.171751
34.434327,-9.135296,-9.402087,0.139039,-0.898233,-0.000224,-0.000001,0.172851,-0.000529,-0.000004,-0.933984,0.937574,0.000035,-0.000530,0.172851
34.484304,-9.103992,-9.441045,0.139051,-0.889551,-0.000249,-0.000001,0.174591,-0.000473,-0.000003,-0.933585,0.936951,0.000040,-0.000473,0.174591
34.534281,-9.072348,-9.479728,0.139064,-0.880772,-0.000271,-0.000001,0.176711,-0.000393,-0.000003,-0.933837,0.935564,0.000045,-0.000393,0.176711
34.584259,-9.040364,-9.518131,0.139078,-0.871887,-0.000288,-0.000001,0.178846,-0.000290,-0.000001,-0.932566,0.936728,0.000050,-0.000290,0.178846
34.634236,-9.008039,-9.556246,0.139093,-0.862905,-0.000299,-0.000001,0.180613,-0.000165,-0.000000,-0.931366,0.938021,0.000054,-0.000165,0.180613
34.684213,-8.975371,-9.594068,0.139108,-0.853850,-0.000304,-0.000001,0.181757,-0.000020,0.000001,-0.930698,0.938722,0.000056,-0.000021,0.181757
34.734190,-8.942361,-9.631592,0.139123,-0.844756,-0.000301,-0.000001,0.182150,0.000141,0.000001,-0.930518,0.938978,0.000056,0.000140,0.182150
34.784168,-8.909010,-9.668814,0.139138,-0.835662,-0.000289,-0.000001,0.181773,0.000313,0.000002,-0.930574,0.938877,0.000055,0.000313,0.181773
34.834145,-8.875324,-9.705731,0.139152,-0.826604,-0.000269,-0.000001,0.180702,0.000492,0.000003,-0.929032,0.939322,0.000051,0.000491,0.180702
34.884122,-8.841305,-9.742344,0.139164,-0.817616,-0.000240,-0.000001,0.179017,0.000670,0.000004,-0.928121,0.939212,0.000047,0.000669,0.179017
34.934099,-8.806961,-9.778650,0.139176,-0.808726,-0.000203,-0.000001,0.176734,0.000840,0.000005,-0.927575,0.938757,0.000041,0.000840,0.176734
34.984077,-8.772297,-9.814652,0.139185,-0.799966,-0.000157,-0.000000,0.173821,0.000995,0.000006,-0.927620,0.937556,0.000034,0.000995,0.173821
35.034054,-8.737322,-9.850352,0.139191,-0.791369,-0.000104,-0.000000,0.170219,0.001126,0.000007,-0.927463,0.937308,0.000025,0.001126,0.170219
35.084031,-8.702045,-9.885753,0.139195,-0.782970,-0.000045,0.000000,0.165870,0.001227,0.000007,-0.927027,0.938180,0.000015,0.001227,0.165870
35.134009,-8.666476,-9.920860,0.139196,-0.774809,0.000018,0.000001,0.160734,0.001289,0.000006,-0.927161,0.938315,0.000003,0.001289,0.160734
35.183986,-8.630626,-9.955681,0.139193,-0.766924,0.000083,0.000001,0.154824,0.001307,0.000004,-0.927614,0.938161,-0.000008,0.001307,0.154824
35.233963,-8.594508,-9.990224,0.139187,-0.759350,0.000147,0.000001,0.148260,0.001278,0.000002,-0.928629,0.937498,-0.000020,0.001278,0.148260
35.283940,-8.558135,-10.024499,0.139178,-0.752114,0.000209,0.000001,0.141328,0.001201,-0.000000,-0.928198,0.937563,-0.000030,0.001201,0.141328
35.333918,-8.521521,-10.058515,0.139166,-0.745224,0.000266,0.000001,0.134380,0.001080,-0.000002,-0.927885,0.937413,-0.000038,0.001080,0.134380
35.383895,-8.484679,-10.092285,0.139152,-0.738675,0.000316,0.000001,0.127686,0.000921,-0.000002,-0.927960,0.936905,-0.000043,0.000921,0.127686
35.433872,-8.447623,-10.125819,0.139135,-0.732449,0.000358,0.000001,0.121475,0.000734,-0.000002,-0.928377,0.936041,-0.000045,0.000734,0.121475
35.483849,-8.410363,-10.159127,0.139116,-0.726515,0.000389,0.000001,0.116012,0.000527,-0.000001,-0.928954,0.935052,-0.000046,0.000527,0.116012
35.533827,-8.372911,-10.192218,0.139096,-0.720826,0.000410,0.000001,0.111644,0.000308,0.000001,-0.927771,0.936285,-0.000045,0.000308,0.111644
35.583804,-8.335274,-10.225099,0.139075,-0.715320,0.000420,0.000001,0.108698,0.000085,0.000002,-0.926975,0.937106,-0.000043,0.000085,0.108698
35.633781,-8.297458,-10.257775,0.139054,-0.709920,0.000419,0.000001,0.107383,-0.000136,0.000003,-0.926423,0.937691,-0.000042,-0.000136,0.107383
35.683758,-8.259467,-10.290247,0.139034,-0.704543,0.000406,0.000001,0.107808,-0.000351,0.000003,-0.926143,0.937999,-0.000041,-0.000351,0.107808
35.733736,-8.221302,-10.322513,0.139014,-0.699101,0.000384,0.000001,0.109987,-0.000558,0.000003,-0.926150,0.938032,-0.000039,-0.000558,0.109987
35.783713,-8.182959,-10.354569,0.138996,-0.693507,0.000351,0.000001,0.113844,-0.000753,0.000002,-0.924466,0.938520,-0.000038,-0.000753,0.113844
35.833690,-8.144434,-10.386405,0.138979,-0.687683,0.000309,0.000001,0.119220,-0.000936,0.000001,-0.923035,0.938734,-0.000036,-0.000935,0.119220
35.883667,-8.105719,-10.418010,0.138965,-0.681559,0.000258,0.000001,0.125876,-0.001105,-0.000001,-0.921915,0.938638,-0.000033,-0.001104,0.125876
35.933645,-8.066807,-10.449371,0.138953,-0.675079,0.000199,0.000001,0.133430,-0.001259,-0.000002,-0.921089,0.938249,-0.000029,-0.001259,0.133430
35.983622,-8.027686,-10.480472,0.138945,-0.668214,0.000132,0.000001,0.141289,-0.001398,-0.000004,-0.920658,0.937428,-0.000022,-0.001398,0.141289
36.033599,-7.988346,-10.511296,0.138940,-0.660970,0.000059,0.000001,0.148600,-0.001520,-0.000005,-0.919301,0.938153,-0.000013,-0.001520,0.148600
36.083576,-7.948779,-10.541828,0.138939,-0.653395,-0.000019,0.000001,0.154536,-0.001624,-0.000005,-0.918224,0.938628,-0.000002,-0.001623,0.154536
36.133554,-7.908978,-10.572053,0.138942,-0.645569,-0.000102,0.000001,0.158653,-0.001707,-0.000006,-0.917563,0.938668,0.000011,-0.001707,0.158653
36.183531,-7.868939,-10.601963,0.138950,-0.637585,-0.000189,0.000000,0.160875,-0.001767,-0.000007,-0.917251,0.938358,0.000024,-0.001767,0.160875
36.233508,-7.828661,-10.631550,0.138961,-0.629530,-0.000278,-0.000000,0.161443,-0.001802,-0.000009,-0.917487,0.937490,0.000036,-0.001802,0.161443
36.283485,-7.788146,-10.660812,0.138977,-0.621476,-0.000369,-0.000001,0.160888,-0.001808,-0.000011,-0.916650,0.937737,0.000048,-0.001808,0.160888
36.333463,-7.747398,-10.689747,0.138998,-0.613462,-0.000458,-0.000001,0.159805,-0.001781,-0.000012,-0.915973,0.937827,0.000061,-0.001781,0.159805
36.383440,-7.706419,-10.718356,0.139023,-0.605507,-0.000546,-0.000002,0.158558,-0.001720,-0.000011,-0.915769,0.937442,0.000075,-0.001720,0.158558
36.433417,-7.665215,-10.746640,0.139053,-0.597615,-0.000629,-0.000002,0.157253,-0.001622,-0.000007,-0.915900,0.936716,0.000092,-0.001622,0.157253
36.483394,-7.623790,-10.774598,0.139086,-0.589794,-0.000707,-0.000002,0.155745,-0.001485,0.000001,-0.916590,0.935449,0.000111,-0.001485,0.155745
36.533372,-7.582149,-10.802234,0.139123,-0.582062,-0.000777,-0.000002,0.153677,-0.001310,0.000009,-0.915346,0.935817,0.000128,-0.001310,0.153677
36.583349,-7.540297,-10.829549,0.139163,-0.574456,-0.000837,-0.000002,0.150702,-0.001098,0.000014,-0.914271,0.935985,0.000140,-0.001098,0.150702
36.633326,-7.498241,-10.856549,0.139207,-0.567022,-0.000886,-0.000001,0.146776,-0.000854,0.000015,-0.913612,0.935740,0.000145,-0.000854,0.146776
36.683303,-7.455988,-10.883239,0.139252,-0.559801,-0.000922,-0.000000,0.142207,-0.000584,0.000010,-0.913356,0.935077,0.000141,-0.000584,0.142207
36.733281,-7.413546,-10.909629,0.139298,-0.552806,-0.000944,0.000000,0.137701,-0.000295,0.000001,-0.913243,0.934284,0.000131,-0.000295,0.137701
